PurchaseOrderID,OrderDate,RequestedDeliveryDate,ActualDeliveryDate,SupplierID,ProductID,WarehouseID,OrderQty,UnitPriceEUR,POValueEUR,Status,DelayDays,Confirmed
PO4500000040,2025-01-22,2025-02-10,2025-02-09,SUP007,MAT100101,WH03,269,889.99,239407.31,Delivered,0,Yes
PO4500000041,2025-08-01,2025-08-07,2025-08-05,SUP018,MAT100101,WH03,356,698.06,248509.36,Delivered,0,No
PO4500000042,2025-05-14,2025-06-15,2025-06-13,SUP005,MAT100004,WH01,132,596.65,78757.8,Delivered,0,No
PO4500000043,2025-11-28,2025-12-13,2025-12-12,SUP008,MAT100054,WH03,73,118.45,8646.85,Delivered,0,Yes
PO4500000044,2026-05-03,2026-05-15,2026-05-14,SUP003,MAT100058,WH03,545,536.33,292299.85,Delivered,0,Yes
PO4500000045,2025-02-14,2025-03-20,2025-03-21,SUP020,MAT100004,WH01,328,414.95,136103.6,Delivered,1,Yes
PO4500000046,2026-03-13,2026-03-31,2026-03-31,SUP013,MAT100011,WH02,474,70.77,33544.98,Delivered,0,Yes
PO4500000047,2025-05-10,2025-05-22,2025-05-23,SUP003,MAT100049,WH03,581,642.38,373222.78,Delivered,1,Yes
PO4500000048,2026-06-02,2026-06-20,2026-06-17,SUP015,MAT100084,WH03,137,768.25,105250.25,Delivered,0,Yes
PO4500000049,2026-03-17,2026-04-05,2026-04-03,SUP007,MAT100059,WH02,443,308.34,136594.62,Delivered,0,Yes
PO4500000050,2025-11-17,2025-11-28,2025-11-27,SUP004,MAT100088,WH02,403,858.47,345963.41,Delivered,0,Yes
PO4500000051,2025-04-06,2025-04-18,2025-04-17,SUP003,MAT100076,WH03,153,502.95,76951.35,Delivered,0,Yes
PO4500000052,2025-05-06,2025-06-08,2025-06-08,SUP022,MAT100077,WH02,72,871.72,62763.84,Delivered,0,Yes
PO4500000053,2026-06-04,2026-07-11,2026-07-11,SUP019,MAT100045,WH03,249,763.31,190064.19,Open,0,Yes
PO4500000054,2025-08-20,2025-08-27,2025-08-28,SUP009,MAT100119,WH03,590,28.5,16815.0,Delivered,1,Yes
PO4500000055,2025-01-30,2025-02-06,2025-02-05,SUP009,MAT100024,WH01,367,319.17,117135.39,Delivered,0,Yes
PO4500000056,2025-03-13,2025-03-31,2025-03-28,SUP013,MAT100028,WH02,113,672.77,76023.01,Delivered,0,Yes
PO4500000057,2025-06-11,2025-07-11,2025-07-10,SUP011,MAT100020,WH01,106,795.59,84332.54,Delivered,0,Yes
PO4500000058,2025-03-25,2025-04-08,2025-04-08,SUP002,MAT100054,WH02,517,548.33,283486.61,Delivered,0,Yes
PO4500000059,2025-04-27,2025-05-06,2025-05-03,SUP017,MAT100076,WH02,310,612.01,189723.1,Delivered,0,Yes
PO4500000060,2025-02-16,2025-03-01,2025-03-02,SUP010,MAT100039,WH01,76,11.88,902.88,Delivered,1,Yes
PO4500000061,2025-10-24,2025-10-31,2025-10-28,SUP009,MAT100023,WH01,529,673.58,356323.82,Delivered,0,Yes
PO4500000062,2025-08-24,2025-09-25,2025-09-24,SUP023,MAT100095,WH01,93,360.38,33515.34,Delivered,0,Yes
PO4500000063,2025-03-21,2025-04-08,2025-04-09,SUP015,MAT100091,WH03,459,518.19,237849.21,Delivered,1,Yes
PO4500000064,2026-02-19,2026-03-02,2026-03-01,SUP004,MAT100080,WH02,195,722.18,140825.1,Delivered,0,Yes
PO4500000065,2025-04-01,2025-04-10,2025-04-07,SUP012,MAT100052,WH03,269,394.93,106236.17,Delivered,0,Yes
PO4500000066,2025-12-14,2025-12-27,2025-12-25,SUP010,MAT100015,WH03,98,461.88,45264.24,Delivered,0,Yes
PO4500000067,2025-12-26,2026-01-04,2026-01-02,SUP012,MAT100033,WH01,261,97.01,25319.61,Delivered,0,Yes
PO4500000068,2025-03-19,2025-04-20,2025-04-20,SUP005,MAT100098,WH03,495,680.23,336713.85,Delivered,0,Yes
PO4500000069,2025-11-27,2026-01-03,2026-01-14,SUP019,MAT100061,WH02,174,398.59,69354.66,Late,11,Yes
PO4500000070,2025-02-27,2025-03-06,2025-03-03,SUP009,MAT100005,WH01,337,418.26,140953.62,Delivered,0,Yes
PO4500000071,2025-03-20,2025-04-02,2025-03-30,SUP010,MAT100075,WH03,539,349.11,188170.29,Delivered,0,Yes
PO4500000072,2025-02-12,2025-02-15,2025-02-16,SUP024,MAT100061,WH03,212,292.77,62067.24,Delivered,1,Yes
PO4500000073,2026-04-07,2026-04-21,2026-04-20,SUP002,MAT100023,WH01,106,456.57,48396.42,Delivered,0,Yes
PO4500000074,2026-03-26,2026-04-13,2026-04-14,SUP015,MAT100118,WH02,182,330.69,60185.58,Delivered,1,Yes
PO4500000075,2025-02-23,2025-03-25,2025-03-24,SUP011,MAT100072,WH03,87,300.07,26106.09,Delivered,0,Yes
PO4500000076,2025-06-03,2025-06-10,2025-06-11,SUP009,MAT100040,WH03,164,825.49,135380.36,Delivered,1,Yes
PO4500000077,2025-05-13,2025-05-31,2025-05-28,SUP013,MAT100083,WH02,337,505.24,170265.88,Delivered,0,Yes
PO4500000078,2025-04-06,2025-05-09,2025-05-09,SUP022,MAT100047,WH02,540,328.84,177573.6,Delivered,0,Yes
PO4500000079,2025-12-16,2026-01-04,2026-01-20,SUP007,MAT100018,WH01,216,207.76,44876.16,Late,16,Yes
PO4500000080,2026-06-04,2026-06-15,2026-06-16,SUP004,MAT100113,WH03,58,597.43,34650.94,Delivered,1,Yes
PO4500000081,2025-06-07,2025-06-25,2025-06-26,SUP013,MAT100006,WH02,189,650.46,122936.94,Delivered,1,Yes
PO4500000082,2025-09-01,2025-09-04,2025-09-14,SUP024,MAT100031,WH02,479,214.43,102711.97,Late,10,Yes
PO4500000083,2025-07-18,2025-07-28,2025-07-29,SUP016,MAT100037,WH02,471,418.2,196972.2,Delivered,1,Yes
PO4500000084,2025-06-15,2025-06-26,2025-06-27,SUP014,MAT100007,WH03,161,786.34,126600.74,Delivered,1,Yes
PO4500000085,2025-04-16,2025-04-25,2025-04-26,SUP012,MAT100098,WH01,147,260.13,38239.11,Delivered,1,Yes
PO4500000086,2025-05-31,2025-06-09,2025-06-12,SUP017,MAT100114,WH02,247,735.95,181779.65,Late,3,Yes
PO4500000087,2025-02-24,2025-03-07,2025-03-06,SUP014,MAT100011,WH02,261,350.62,91511.82,Delivered,0,Yes
PO4500000088,2025-04-12,2025-05-12,2025-05-11,SUP011,MAT100037,WH02,169,128.15,21657.35,Delivered,0,Yes
PO4500000089,2026-04-26,2026-05-28,2026-05-25,SUP005,MAT100028,WH01,101,22.01,2223.01,Delivered,0,Yes
PO4500000090,2026-03-10,2026-03-13,2026-03-12,SUP024,MAT100007,WH01,263,274.53,72201.39,Delivered,0,Yes
PO4500000091,2026-04-14,2026-05-18,2026-05-18,SUP020,MAT100066,WH03,568,19.71,11195.28,Delivered,0,Yes
PO4500000092,2025-10-26,2025-11-27,2025-11-28,SUP005,MAT100054,WH01,381,220.3,83934.3,Delivered,1,Yes
PO4500000093,2026-01-05,2026-01-17,2026-01-18,SUP003,MAT100065,WH03,577,459.06,264877.62,Delivered,1,No
PO4500000094,2025-02-14,2025-02-24,2025-02-23,SUP016,MAT100046,WH01,279,673.85,188004.15,Delivered,0,Yes
PO4500000095,2025-04-17,2025-04-20,2025-04-19,SUP024,MAT100070,WH02,156,44.68,6970.08,Delivered,0,Yes
PO4500000096,2026-04-21,2026-05-04,2026-05-20,SUP006,MAT100009,WH03,206,731.29,150645.74,Late,16,Yes
PO4500000097,2025-02-07,2025-02-25,2025-02-22,SUP015,MAT100041,WH02,224,797.78,178702.72,Delivered,0,Yes
PO4500000098,2026-04-30,2026-05-06,2026-05-04,SUP018,MAT100100,WH01,312,324.49,101240.88,Delivered,0,Yes
PO4500000099,2025-10-07,2025-11-06,2025-11-05,SUP011,MAT100096,WH02,467,801.09,374109.03,Delivered,0,Yes
PO4500000100,2025-12-14,2026-01-01,2026-01-17,SUP013,MAT100103,WH03,529,333.78,176569.62,Late,16,Yes
PO4500000101,2026-03-11,2026-03-23,2026-03-24,SUP003,MAT100042,WH01,204,493.2,100612.8,Delivered,1,Yes
PO4500000102,2025-10-30,2025-12-02,2025-12-03,SUP022,MAT100057,WH02,456,154.15,70292.4,Delivered,1,Yes
PO4500000103,2025-12-28,2025-12-31,2025-12-31,SUP024,MAT100102,WH01,301,577.33,173776.33,Delivered,0,Yes
PO4500000104,2026-02-20,2026-03-25,2026-03-23,SUP021,MAT100078,WH03,51,132.79,6772.29,Delivered,0,Yes
PO4500000105,2025-05-10,2025-05-24,2025-05-23,SUP002,MAT100073,WH01,390,347.65,135583.5,Delivered,0,Yes
PO4500000106,2026-04-06,2026-05-09,2026-05-21,SUP022,MAT100074,WH01,474,687.96,326093.04,Late,12,Yes
PO4500000107,2025-11-18,2025-12-06,2025-12-04,SUP013,MAT100024,WH02,136,28.19,3833.84,Delivered,0,Yes
PO4500000108,2025-05-01,2025-05-07,2025-05-06,SUP018,MAT100079,WH02,476,197.04,93791.04,Delivered,0,Yes
PO4500000109,2025-07-24,2025-08-03,2025-07-31,SUP016,MAT100092,WH02,482,159.53,76893.46,Delivered,0,Yes
PO4500000110,2025-11-24,2025-12-27,2025-12-24,SUP022,MAT100115,WH02,583,490.24,285809.92,Delivered,0,Yes
PO4500000111,2025-06-28,2025-07-30,2025-07-31,SUP023,MAT100026,WH01,249,113.62,28291.38,Delivered,1,Yes
PO4500000112,2025-01-27,2025-02-06,2025-02-07,SUP016,MAT100071,WH01,397,423.33,168062.01,Delivered,1,Yes
PO4500000113,2025-03-09,2025-03-21,2025-03-21,SUP003,MAT100053,WH03,558,372.66,207944.28,Delivered,0,Yes
PO4500000114,2025-03-17,2025-04-16,2025-04-17,SUP011,MAT100107,WH03,372,119.86,44587.92,Delivered,1,Yes
PO4500000115,2025-05-13,2025-05-26,2025-05-23,SUP006,MAT100039,WH01,147,468.7,68898.9,Delivered,0,Yes
PO4500000116,2025-08-19,2025-09-20,2025-09-21,SUP023,MAT100033,WH01,310,762.11,236254.1,Delivered,1,Yes
PO4500000117,2025-10-09,2025-10-15,2025-10-14,SUP018,MAT100083,WH01,566,88.62,50158.92,Delivered,0,Yes
PO4500000118,2025-06-07,2025-07-14,2025-07-15,SUP019,MAT100073,WH01,365,759.06,277056.9,Delivered,1,Yes
PO4500000119,2025-03-25,2025-04-27,2025-04-28,SUP001,MAT100099,WH03,291,587.76,171038.16,Delivered,1,Yes
PO4500000120,2025-02-01,2025-03-06,2025-03-07,SUP021,MAT100039,WH02,316,579.51,183125.16,Delivered,1,Yes
PO4500000121,2026-02-20,2026-03-25,2026-03-22,SUP022,MAT100054,WH02,81,146.48,11864.88,Delivered,0,Yes
PO4500000122,2025-05-28,2025-06-27,2025-06-26,SUP011,MAT100017,WH02,373,877.96,327479.08,Delivered,0,Yes
PO4500000123,2025-11-23,2025-12-04,2025-12-01,SUP004,MAT100019,WH01,293,407.39,119365.27,Delivered,0,No
PO4500000124,2026-03-05,2026-03-23,2026-03-21,SUP013,MAT100093,WH02,355,840.71,298452.05,Delivered,0,Yes
PO4500000125,2026-05-26,2026-06-08,2026-06-23,SUP006,MAT100064,WH01,530,791.77,419638.1,Late,15,Yes
PO4500000126,2026-06-02,2026-06-20,2026-06-18,SUP013,MAT100007,WH01,240,527.09,126501.6,Delivered,0,Yes
PO4500000127,2026-04-27,2026-05-31,2026-05-28,SUP020,MAT100113,WH02,130,390.68,50788.4,Delivered,0,Yes
PO4500000128,2026-01-10,2026-01-28,2026-01-25,SUP013,MAT100071,WH02,595,179.22,106635.9,Delivered,0,Yes
PO4500000129,2026-04-07,2026-04-16,2026-04-15,SUP017,MAT100013,WH02,141,120.15,16941.15,Delivered,0,Yes
PO4500000130,2026-01-10,2026-02-09,2026-02-07,SUP011,MAT100006,WH01,541,364.24,197053.84,Delivered,0,No
PO4500000131,2025-12-08,2026-01-09,2026-01-10,SUP023,MAT100115,WH03,487,138.3,67352.1,Delivered,1,Yes
PO4500000132,2025-11-23,2025-12-27,2025-12-28,SUP020,MAT100065,WH03,326,536.38,174859.88,Delivered,1,Yes
PO4500000133,2025-11-03,2025-12-05,2025-12-02,SUP023,MAT100015,WH02,397,301.46,119679.62,Delivered,0,Yes
PO4500000134,2025-01-28,2025-01-31,2025-01-30,SUP024,MAT100075,WH02,253,650.65,164614.45,Delivered,0,Yes
PO4500000135,2026-01-25,2026-02-27,2026-02-25,SUP021,MAT100090,WH01,52,517.45,26907.4,Delivered,0,Yes
PO4500000136,2025-11-18,2025-12-06,2025-12-06,SUP015,MAT100100,WH03,228,372.29,84882.12,Delivered,0,Yes
PO4500000137,2025-03-05,2025-03-08,2025-03-09,SUP024,MAT100085,WH02,232,506.99,117621.68,Delivered,1,Yes
PO4500000138,2025-06-27,2025-07-27,2025-07-28,SUP011,MAT100087,WH03,370,493.91,182746.7,Delivered,1,Yes
PO4500000139,2025-09-28,2025-10-30,2025-10-28,SUP023,MAT100039,WH01,272,254.71,69281.12,Delivered,0,Yes
PO4500000140,2025-10-23,2025-11-05,2025-11-05,SUP010,MAT100072,WH03,344,434.42,149440.48,Delivered,0,Yes
PO4500000141,2026-01-24,2026-02-04,2026-02-17,SUP004,MAT100103,WH01,373,859.37,320545.01,Late,13,Yes
PO4500000142,2025-03-22,2025-04-04,2025-04-04,SUP010,MAT100028,WH01,282,673.87,190031.34,Delivered,0,Yes
PO4500000143,2025-10-06,2025-10-13,2025-10-14,SUP009,MAT100086,WH03,265,222.0,58830.0,Delivered,1,Yes
PO4500000144,2025-02-23,2025-03-10,2025-03-09,SUP008,MAT100099,WH01,503,94.99,47779.97,Delivered,0,No
PO4500000145,2025-06-11,2025-06-17,2025-06-17,SUP018,MAT100097,WH02,508,587.23,298312.84,Delivered,0,Yes
PO4500000146,2025-03-02,2025-04-04,2025-04-01,SUP021,MAT100093,WH01,257,483.96,124377.72,Delivered,0,Yes
PO4500000147,2026-03-04,2026-03-17,2026-03-23,SUP006,MAT100051,WH02,57,897.47,51155.79,Late,6,Yes
PO4500000148,2025-10-24,2025-10-27,2025-10-28,SUP024,MAT100014,WH02,325,513.33,166832.25,Late,1,Yes
PO4500000149,2026-05-21,2026-06-23,2026-06-21,SUP021,MAT100025,WH01,536,423.88,227199.68,Delivered,0,Yes
PO4500000150,2026-04-15,2026-04-18,2026-04-16,SUP024,MAT100102,WH02,34,664.27,22585.18,Delivered,0,Yes
PO4500000151,2025-06-29,2025-07-18,2025-07-18,SUP007,MAT100012,WH02,457,466.18,213044.26,Delivered,0,Yes
PO4500000152,2025-05-24,2025-06-06,2025-06-04,SUP006,MAT100031,WH02,26,238.4,6198.4,Delivered,0,Yes
PO4500000153,2025-11-06,2025-12-06,2025-12-07,SUP011,MAT100047,WH03,31,239.09,7411.79,Delivered,1,Yes
PO4500000154,2025-05-02,2025-06-04,2025-06-02,SUP022,MAT100119,WH03,435,619.04,269282.4,Delivered,0,Yes
PO4500000155,2025-05-01,2025-06-02,2025-06-01,SUP023,MAT100029,WH01,396,555.09,219815.64,Delivered,0,Yes
PO4500000156,2026-01-18,2026-02-05,2026-02-06,SUP015,MAT100103,WH03,502,682.83,342780.66,Delivered,1,Yes
PO4500000157,2025-03-25,2025-04-09,2025-04-10,SUP008,MAT100073,WH01,390,74.9,29211.0,Delivered,1,Yes
PO4500000158,2026-06-02,2026-06-08,2026-06-09,SUP018,MAT100110,WH03,173,152.26,26340.98,Delivered,1,Yes
PO4500000159,2025-07-30,2025-09-01,2025-09-01,SUP022,MAT100058,WH01,113,809.51,91474.63,Delivered,0,Yes
PO4500000160,2026-03-02,2026-03-11,2026-03-08,SUP017,MAT100104,WH02,592,418.83,247947.36,Delivered,0,Yes
PO4500000161,2025-09-18,2025-10-06,2025-10-04,SUP013,MAT100045,WH03,94,45.53,4279.82,Delivered,0,Yes
PO4500000162,2025-03-12,2025-03-26,2025-04-11,SUP002,MAT100024,WH01,52,261.95,13621.4,Late,16,Yes
PO4500000163,2026-03-07,2026-03-10,2026-03-10,SUP024,MAT100117,WH02,479,783.31,375205.49,Delivered,0,Yes
PO4500000164,2025-05-17,2025-06-19,2025-06-18,SUP022,MAT100069,WH02,141,164.73,23226.93,Delivered,0,Yes
PO4500000165,2025-08-17,2025-08-20,2025-08-17,SUP024,MAT100093,WH03,325,419.39,136301.75,Delivered,0,Yes
PO4500000166,2025-08-24,2025-09-11,2025-09-10,SUP013,MAT100120,WH03,178,251.71,44804.38,Delivered,0,Yes
PO4500000167,2026-03-06,2026-03-20,2026-03-17,SUP002,MAT100013,WH03,266,189.44,50391.04,Delivered,0,No
PO4500000168,2025-02-19,2025-03-25,2025-03-22,SUP020,MAT100070,WH01,431,397.87,171481.97,Delivered,0,Yes
PO4500000169,2025-05-24,2025-06-07,2025-06-06,SUP002,MAT100094,WH03,259,735.13,190398.67,Delivered,0,Yes
PO4500000170,2025-11-25,2025-12-29,2025-12-27,SUP020,MAT100039,WH02,553,202.83,112164.99,Delivered,0,Yes
PO4500000171,2025-06-29,2025-08-05,2025-08-05,SUP019,MAT100045,WH03,589,448.58,264213.62,Delivered,0,Yes
PO4500000172,2025-11-23,2025-12-02,2025-12-02,SUP017,MAT100024,WH03,172,273.4,47024.8,Delivered,0,Yes
PO4500000173,2025-11-04,2025-11-19,2025-11-24,SUP008,MAT100072,WH02,494,823.69,406902.86,Late,5,Yes
PO4500000174,2025-05-18,2025-05-24,2025-05-23,SUP018,MAT100011,WH02,228,300.59,68534.52,Delivered,0,Yes
PO4500000175,2025-07-15,2025-07-27,2025-07-27,SUP003,MAT100025,WH03,60,786.89,47213.4,Delivered,0,Yes
PO4500000176,2025-08-11,2025-08-17,2025-08-16,SUP018,MAT100002,WH01,330,861.53,284304.9,Delivered,0,Yes
PO4500000177,2025-05-01,2025-05-04,2025-05-04,SUP024,MAT100091,WH01,268,627.59,168194.12,Delivered,0,Yes
PO4500000178,2025-11-26,2025-12-11,2025-12-11,SUP008,MAT100046,WH02,497,482.62,239862.14,Delivered,0,Yes
PO4500000179,2026-05-25,2026-06-03,2026-06-03,SUP017,MAT100048,WH02,347,823.33,285695.51,Delivered,0,Yes
PO4500000180,2025-08-15,2025-09-21,2025-09-18,SUP019,MAT100075,WH03,287,500.21,143560.27,Delivered,0,Yes
PO4500000181,2025-06-06,2025-06-19,2025-06-17,SUP010,MAT100032,WH02,408,514.96,210103.68,Delivered,0,Yes
PO4500000182,2025-12-12,2026-01-14,2026-01-14,SUP022,MAT100094,WH02,522,417.44,217903.68,Delivered,0,Yes
PO4500000183,2026-05-16,2026-05-19,2026-05-20,SUP024,MAT100108,WH01,80,473.93,37914.4,Delivered,1,Yes
PO4500000184,2025-02-19,2025-03-24,2025-03-24,SUP022,MAT100030,WH01,160,759.08,121452.8,Delivered,0,Yes
PO4500000185,2025-08-12,2025-09-14,2025-09-13,SUP001,MAT100086,WH03,81,557.96,45194.76,Delivered,0,Yes
PO4500000186,2026-05-15,2026-06-17,2026-06-18,SUP022,MAT100003,WH03,584,373.15,217919.6,Delivered,1,Yes
PO4500000187,2025-10-21,2025-10-27,2025-10-27,SUP018,MAT100013,WH03,203,100.78,20458.34,Delivered,0,Yes
PO4500000188,2025-09-16,2025-10-05,2025-10-14,SUP007,MAT100052,WH02,426,75.72,32256.72,Late,9,Yes
PO4500000189,2025-08-20,2025-09-21,2025-09-18,SUP023,MAT100049,WH02,52,88.68,4611.36,Delivered,0,Yes
PO4500000190,2025-01-10,2025-01-24,2025-01-21,SUP002,MAT100083,WH02,531,761.57,404393.67,Delivered,0,Yes
PO4500000191,2025-02-13,2025-02-24,2025-02-25,SUP004,MAT100119,WH01,506,247.63,125300.78,Delivered,1,Yes
PO4500000192,2025-02-03,2025-02-10,2025-02-09,SUP009,MAT100076,WH01,36,865.51,31158.36,Delivered,0,Yes
PO4500000193,2026-02-12,2026-03-16,2026-03-15,SUP023,MAT100073,WH02,186,509.74,94811.64,Delivered,0,Yes
PO4500000194,2025-12-06,2025-12-12,2025-12-10,SUP018,MAT100045,WH01,100,453.21,45321.0,Delivered,0,Yes
PO4500000195,2025-03-19,2025-04-03,2025-04-04,SUP008,MAT100042,WH01,426,872.18,371548.68,Delivered,1,Yes
PO4500000196,2026-05-18,2026-06-05,2026-06-06,SUP015,MAT100088,WH03,404,391.5,158166.0,Delivered,1,Yes
PO4500000197,2025-10-30,2025-11-11,2025-11-08,SUP003,MAT100049,WH03,104,244.83,25462.32,Delivered,0,Yes
PO4500000198,2026-02-03,2026-03-07,2026-03-04,SUP005,MAT100040,WH02,113,9.65,1090.45,Delivered,0,Yes
PO4500000199,2025-04-15,2025-04-22,2025-04-20,SUP009,MAT100072,WH03,461,406.72,187497.92,Delivered,0,Yes
PO4500000200,2025-04-02,2025-05-05,2025-05-02,SUP001,MAT100002,WH02,352,778.03,273866.56,Delivered,0,Yes
PO4500000201,2025-09-06,2025-09-18,2025-09-16,SUP003,MAT100035,WH02,409,156.7,64090.3,Delivered,0,Yes
PO4500000202,2025-03-06,2025-04-07,2025-04-06,SUP005,MAT100101,WH01,451,273.28,123249.28,Delivered,0,Yes
PO4500000203,2026-05-23,2026-06-07,2026-06-05,SUP008,MAT100039,WH01,488,100.74,49161.12,Delivered,0,Yes
PO4500000204,2026-01-25,2026-02-24,2026-02-23,SUP011,MAT100105,WH03,470,304.59,143157.3,Delivered,0,Yes
PO4500000205,2025-11-04,2025-12-06,2025-12-04,SUP005,MAT100051,WH02,510,286.19,145956.9,Delivered,0,Yes
PO4500000206,2026-05-18,2026-06-19,2026-06-27,SUP023,MAT100105,WH02,353,341.57,120574.21,Late,8,Yes
PO4500000207,2025-07-24,2025-08-30,2025-08-31,SUP019,MAT100071,WH01,204,615.13,125486.52,Delivered,1,Yes
PO4500000208,2025-08-03,2025-08-21,2025-08-20,SUP015,MAT100102,WH02,90,737.97,66417.3,Delivered,0,Yes
PO4500000209,2025-11-07,2025-12-09,2025-12-07,SUP005,MAT100010,WH02,453,711.22,322182.66,Delivered,0,Yes
PO4500000210,2026-02-15,2026-02-25,2026-02-25,SUP016,MAT100047,WH03,576,37.9,21830.4,Delivered,0,Yes
PO4500000211,2025-03-29,2025-04-04,2025-04-02,SUP018,MAT100079,WH01,383,153.87,58932.21,Delivered,0,Yes
PO4500000212,2026-02-14,2026-03-19,2026-03-30,SUP021,MAT100013,WH02,460,99.82,45917.2,Late,11,Yes
PO4500000213,2025-08-15,2025-08-18,2025-08-18,SUP024,MAT100076,WH03,494,696.25,343947.5,Delivered,0,Yes
