ExceptionID,ExceptionDate,Process,ExceptionType,Severity,ReferenceID,Description,Status
EXC000065,2025-05-18,Procurement,Missing Supplier Confirmation,Medium,PO4500000346,Supplier confirmation missing,Open
EXC000066,2025-04-17,Procurement,Overdue Purchase Order,High,PO4500000355,Purchase order delayed by 8 days,Open
EXC000067,2025-07-09,Procurement,Overdue Purchase Order,Critical,PO4500000356,Purchase order delayed by 10 days,Open
EXC000068,2026-06-02,Procurement,Overdue Purchase Order,High,PO4500000365,Purchase order delayed by 3 days,Open
EXC000069,2026-05-23,Procurement,Missing Supplier Confirmation,Medium,PO4500000365,Supplier confirmation missing,Open
EXC000070,2025-12-30,Procurement,Missing Supplier Confirmation,Medium,PO4500000371,Supplier confirmation missing,Open
EXC000071,2026-07-11,Procurement,Overdue Purchase Order,High,PO4500000378,Purchase order delayed by 1 days,Open
EXC000072,2025-05-14,Procurement,Missing Supplier Confirmation,Medium,PO4500000389,Supplier confirmation missing,Open
EXC000073,2026-06-05,Procurement,Overdue Purchase Order,High,PO4500000393,Purchase order delayed by 1 days,Open
EXC000074,2025-10-11,Procurement,Overdue Purchase Order,Critical,PO4500000394,Purchase order delayed by 11 days,Open
EXC000075,2026-03-22,Procurement,Missing Supplier Confirmation,Medium,PO4500000398,Supplier confirmation missing,Open
EXC000076,2026-06-27,Procurement,Overdue Purchase Order,High,PO4500000426,Purchase order delayed by 1 days,Open
EXC000077,2026-05-16,Procurement,Overdue Purchase Order,High,PO4500000430,Purchase order delayed by 2 days,Open
EXC000078,2025-09-03,Procurement,Overdue Purchase Order,Critical,PO4500000432,Purchase order delayed by 16 days,Open
EXC000079,2026-02-23,Procurement,Missing Supplier Confirmation,Medium,PO4500000434,Supplier confirmation missing,Open
EXC000080,2026-04-30,Procurement,Overdue Purchase Order,High,PO4500000447,Purchase order delayed by 1 days,Open
EXC000081,2025-10-18,Procurement,Missing Supplier Confirmation,Medium,PO4500000475,Supplier confirmation missing,Open
EXC000082,2025-12-09,Procurement,Overdue Purchase Order,Critical,PO4500000476,Purchase order delayed by 15 days,Open
EXC000083,2026-03-17,Procurement,Overdue Purchase Order,Critical,PO4500000481,Purchase order delayed by 14 days,Open
EXC000084,2026-06-08,Procurement,Overdue Purchase Order,Critical,PO4500000487,Purchase order delayed by 15 days,Open
EXC000085,2026-05-26,Procurement,Missing Supplier Confirmation,Medium,PO4500000487,Supplier confirmation missing,Open
EXC000086,2025-01-25,Procurement,Overdue Purchase Order,Critical,PO4500000493,Purchase order delayed by 16 days,Open
EXC000087,2025-09-18,Procurement,Missing Supplier Confirmation,Medium,PO4500000512,Supplier confirmation missing,Open
EXC000088,2026-05-28,Procurement,Overdue Purchase Order,High,PO4500000517,Purchase order delayed by 4 days,Open
EXC000089,2026-02-28,Procurement,Missing Supplier Confirmation,Medium,PO4500000525,Supplier confirmation missing,Open
EXC000090,2025-07-06,Procurement,Overdue Purchase Order,Critical,PO4500000526,Purchase order delayed by 15 days,Open
EXC000091,2026-06-23,Procurement,Overdue Purchase Order,High,PO4500000533,Purchase order delayed by 4 days,Open
EXC000092,2026-06-16,Procurement,Overdue Purchase Order,Critical,PO4500000534,Purchase order delayed by 18 days,Open
EXC000093,2025-10-19,Procurement,Overdue Purchase Order,High,PO4500000536,Purchase order delayed by 9 days,Open
EXC000094,2025-10-01,Procurement,Missing Supplier Confirmation,Medium,PO4500000543,Supplier confirmation missing,Open
EXC000095,2025-12-09,Procurement,Overdue Purchase Order,High,PO4500000547,Purchase order delayed by 8 days,Open
EXC000096,2025-04-22,Procurement,Missing Supplier Confirmation,Medium,PO4500000549,Supplier confirmation missing,Open
EXC000097,2025-08-04,Procurement,Overdue Purchase Order,Critical,PO4500000562,Purchase order delayed by 12 days,Open
EXC000098,2026-02-04,Procurement,Overdue Purchase Order,Critical,PO4500000566,Purchase order delayed by 16 days,Open
EXC000099,2025-03-18,Procurement,Overdue Purchase Order,High,PO4500000574,Purchase order delayed by 9 days,Open
EXC000100,2026-02-03,Procurement,Missing Supplier Confirmation,Medium,PO4500000575,Supplier confirmation missing,Open
EXC000101,2025-04-25,Procurement,Missing Supplier Confirmation,Medium,PO4500000577,Supplier confirmation missing,Open
EXC000102,2025-09-08,Procurement,Missing Supplier Confirmation,Medium,PO4500000584,Supplier confirmation missing,Open
EXC000103,2026-04-06,Procurement,Overdue Purchase Order,Critical,PO4500000593,Purchase order delayed by 14 days,Open
EXC000104,2025-12-30,Procurement,Overdue Purchase Order,High,PO4500000599,Purchase order delayed by 1 days,Open
EXC000105,2026-01-28,Procurement,Missing Supplier Confirmation,Medium,PO4500000616,Supplier confirmation missing,Open
EXC000106,2025-08-28,Procurement,Missing Supplier Confirmation,Medium,PO4500000618,Supplier confirmation missing,Open
EXC000107,2025-08-13,Procurement,Missing Supplier Confirmation,Medium,PO4500000623,Supplier confirmation missing,Open
EXC000108,2025-09-14,Procurement,Overdue Purchase Order,High,PO4500000624,Purchase order delayed by 4 days,Open
EXC000109,2026-02-17,Procurement,Overdue Purchase Order,Critical,PO4500000635,Purchase order delayed by 12 days,Open
EXC000110,2026-04-16,Procurement,Overdue Purchase Order,High,PO4500000637,Purchase order delayed by 1 days,Open
EXC000111,2026-04-06,Procurement,Missing Supplier Confirmation,Medium,PO4500000637,Supplier confirmation missing,Open
EXC000112,2025-10-03,Procurement,Overdue Purchase Order,High,PO4500000639,Purchase order delayed by 2 days,Open
EXC000113,2025-06-03,Procurement,Overdue Purchase Order,Critical,PO4500000643,Purchase order delayed by 18 days,Open
EXC000114,2025-01-30,Procurement,Overdue Purchase Order,High,PO4500000646,Purchase order delayed by 3 days,Open
EXC000115,2025-09-13,Procurement,Overdue Purchase Order,High,PO4500000648,Purchase order delayed by 2 days,Open
EXC000116,2025-03-25,Procurement,Overdue Purchase Order,Critical,PO4500000653,Purchase order delayed by 15 days,Open
EXC000117,2025-07-09,Procurement,Overdue Purchase Order,High,PO4500000661,Purchase order delayed by 1 days,Open
EXC000118,2025-01-02,Procurement,Missing Supplier Confirmation,Medium,PO4500000666,Supplier confirmation missing,Open
EXC000119,2025-07-19,Procurement,Overdue Purchase Order,High,PO4500000680,Purchase order delayed by 5 days,Open
EXC000120,2025-06-08,Procurement,Overdue Purchase Order,Critical,PO4500000683,Purchase order delayed by 11 days,Open
EXC000121,2026-05-17,Procurement,Overdue Purchase Order,High,PO4500000685,Purchase order delayed by 5 days,Open
EXC000122,2025-02-23,Procurement,Overdue Purchase Order,Critical,PO4500000694,Purchase order delayed by 10 days,Open
EXC000123,2025-01-21,Procurement,Overdue Purchase Order,High,PO4500000698,Purchase order delayed by 6 days,Open
EXC000124,2025-11-05,Procurement,Missing Supplier Confirmation,Medium,PO4500000701,Supplier confirmation missing,Open
EXC000125,2025-10-15,Procurement,Overdue Purchase Order,Critical,PO4500000710,Purchase order delayed by 12 days,Open
EXC000126,2025-01-18,Procurement,Overdue Purchase Order,High,PO4500000712,Purchase order delayed by 4 days,Open
EXC000127,2025-02-18,Procurement,Overdue Purchase Order,High,PO4500000725,Purchase order delayed by 2 days,Open
EXC000128,2026-01-02,Procurement,Overdue Purchase Order,High,PO4500000730,Purchase order delayed by 1 days,Open
EXC000129,2025-03-09,Procurement,Missing Supplier Confirmation,Medium,PO4500000732,Supplier confirmation missing,Open
EXC000130,2026-03-09,Procurement,Missing Supplier Confirmation,Medium,PO4500000733,Supplier confirmation missing,Open
EXC000131,2026-04-24,Procurement,Missing Supplier Confirmation,Medium,PO4500000741,Supplier confirmation missing,Open
EXC000132,2025-03-20,Procurement,Overdue Purchase Order,Critical,PO4500000747,Purchase order delayed by 14 days,Open
EXC000133,2025-05-23,Procurement,Overdue Purchase Order,Critical,PO4500000761,Purchase order delayed by 14 days,Open
EXC000134,2025-08-06,Procurement,Missing Supplier Confirmation,Medium,PO4500000770,Supplier confirmation missing,Open
EXC000135,2026-05-13,Procurement,Overdue Purchase Order,High,PO4500000771,Purchase order delayed by 2 days,Open
EXC000136,2025-05-06,Procurement,Overdue Purchase Order,High,PO4500000778,Purchase order delayed by 5 days,Open
EXC000137,2026-06-18,Procurement,Overdue Purchase Order,High,PO4500000779,Purchase order delayed by 7 days,Open
EXC000138,2025-04-28,Procurement,Overdue Purchase Order,High,PO4500000781,Purchase order delayed by 5 days,Open
EXC000139,2026-04-12,Procurement,Overdue Purchase Order,Critical,PO4500000787,Purchase order delayed by 16 days,Open
EXC000140,2026-01-16,Procurement,Overdue Purchase Order,Critical,PO4500000806,Purchase order delayed by 15 days,Open
EXC000141,2025-03-09,Procurement,Overdue Purchase Order,Critical,PO4500000809,Purchase order delayed by 12 days,Open
EXC000142,2025-10-02,Procurement,Overdue Purchase Order,Critical,PO4500000811,Purchase order delayed by 12 days,Open
EXC000143,2025-10-30,Procurement,Missing Supplier Confirmation,Medium,PO4500000821,Supplier confirmation missing,Open
EXC000144,2025-04-24,Procurement,Missing Supplier Confirmation,Medium,PO4500000826,Supplier confirmation missing,Open
EXC000145,2026-03-13,Procurement,Overdue Purchase Order,High,PO4500000832,Purchase order delayed by 5 days,Open
EXC000146,2026-01-20,Procurement,Overdue Purchase Order,High,PO4500000834,Purchase order delayed by 4 days,Open
EXC000147,2025-03-30,Procurement,Overdue Purchase Order,Critical,PO4500000842,Purchase order delayed by 17 days,Open
EXC000148,2025-07-10,Procurement,Overdue Purchase Order,High,PO4500000843,Purchase order delayed by 9 days,Open
EXC000149,2026-05-24,Procurement,Overdue Purchase Order,Critical,PO4500000853,Purchase order delayed by 10 days,Open
EXC000150,2026-02-01,Procurement,Overdue Purchase Order,High,PO4500000854,Purchase order delayed by 7 days,Open
EXC000151,2025-12-01,Procurement,Overdue Purchase Order,Critical,PO4500000856,Purchase order delayed by 11 days,Open
EXC000152,2026-01-08,Procurement,Overdue Purchase Order,Critical,PO4500000860,Purchase order delayed by 13 days,Open
EXC000153,2025-08-23,Procurement,Overdue Purchase Order,Critical,PO4500000870,Purchase order delayed by 14 days,Open
EXC000154,2025-08-24,Procurement,Overdue Purchase Order,High,PO4500000878,Purchase order delayed by 5 days,Open
EXC000155,2025-08-26,Procurement,Overdue Purchase Order,High,PO4500000888,Purchase order delayed by 6 days,Open
EXC000156,2025-10-09,Procurement,Overdue Purchase Order,High,PO4500000889,Purchase order delayed by 1 days,Open
EXC000157,2026-04-19,Procurement,Overdue Purchase Order,High,PO4500000892,Purchase order delayed by 8 days,Open
EXC000158,2025-05-18,Procurement,Missing Supplier Confirmation,Medium,PO4500000898,Supplier confirmation missing,Open
EXC000159,2025-06-10,Procurement,Overdue Purchase Order,Critical,PO4500000903,Purchase order delayed by 18 days,Open
EXC000160,2026-03-11,Procurement,Overdue Purchase Order,High,PO4500000910,Purchase order delayed by 7 days,Open
EXC000161,2025-12-18,Procurement,Overdue Purchase Order,Critical,PO4500000917,Purchase order delayed by 16 days,Open
EXC000162,2025-10-21,Procurement,Overdue Purchase Order,Critical,PO4500000920,Purchase order delayed by 18 days,Open
EXC000163,2026-02-15,Procurement,Overdue Purchase Order,High,PO4500000932,Purchase order delayed by 4 days,Open
EXC000164,2026-01-27,Procurement,Missing Supplier Confirmation,Medium,PO4500000937,Supplier confirmation missing,Open
EXC000165,2025-04-02,Procurement,Overdue Purchase Order,Critical,PO4500000946,Purchase order delayed by 12 days,Open
EXC000166,2026-05-08,Procurement,Missing Supplier Confirmation,Medium,PO4500000949,Supplier confirmation missing,Open
EXC000167,2025-08-10,Procurement,Overdue Purchase Order,Critical,PO4500000958,Purchase order delayed by 13 days,Open
EXC000168,2025-08-03,Procurement,Missing Supplier Confirmation,Medium,PO4500000958,Supplier confirmation missing,Open
EXC000169,2026-02-13,Procurement,Missing Supplier Confirmation,Medium,PO4500000966,Supplier confirmation missing,Open
EXC000170,2025-09-12,Procurement,Missing Supplier Confirmation,Medium,PO4500000968,Supplier confirmation missing,Open
EXC000171,2025-07-03,Procurement,Overdue Purchase Order,High,PO4500000990,Purchase order delayed by 4 days,Open
EXC000172,2026-02-02,Procurement,Overdue Purchase Order,High,PO4500001009,Purchase order delayed by 8 days,Open
EXC000173,2025-04-03,Procurement,Missing Supplier Confirmation,Medium,PO4500001016,Supplier confirmation missing,Open
EXC000174,2025-02-28,Procurement,Missing Supplier Confirmation,Medium,PO4500001024,Supplier confirmation missing,Open
EXC000175,2026-05-25,Procurement,Overdue Purchase Order,High,PO4500001030,Purchase order delayed by 9 days,Open
EXC000176,2025-01-22,Procurement,Missing Supplier Confirmation,Medium,PO4500001032,Supplier confirmation missing,Open
EXC000177,2026-04-15,Procurement,Overdue Purchase Order,High,PO4500001033,Purchase order delayed by 1 days,Open
EXC000178,2025-07-05,Procurement,Missing Supplier Confirmation,Medium,PO4500001036,Supplier confirmation missing,Open
EXC000179,2025-08-25,Procurement,Missing Supplier Confirmation,Medium,PO4500001038,Supplier confirmation missing,Open
EXC000180,2025-09-29,Procurement,Overdue Purchase Order,Critical,PO4500001041,Purchase order delayed by 12 days,Open
EXC000181,2025-09-16,Procurement,Missing Supplier Confirmation,Medium,PO4500001041,Supplier confirmation missing,Open
EXC000182,2026-01-29,Procurement,Missing Supplier Confirmation,Medium,PO4500001043,Supplier confirmation missing,Open
EXC000183,2026-05-04,Procurement,Overdue Purchase Order,High,PO4500001045,Purchase order delayed by 7 days,Open
EXC000184,2025-09-22,Procurement,Overdue Purchase Order,Critical,PO4500001046,Purchase order delayed by 18 days,Open
EXC000185,2026-07-13,Procurement,Overdue Purchase Order,High,PO4500001051,Purchase order delayed by 1 days,Open
EXC000186,2026-01-30,Procurement,Overdue Purchase Order,High,PO4500001057,Purchase order delayed by 9 days,Open
EXC000187,2025-12-12,Procurement,Missing Supplier Confirmation,Medium,PO4500001083,Supplier confirmation missing,Open
EXC000188,2025-01-29,Procurement,Missing Supplier Confirmation,Medium,PO4500001089,Supplier confirmation missing,Open
EXC000189,2025-07-12,Procurement,Missing Supplier Confirmation,Medium,PO4500001090,Supplier confirmation missing,Open
EXC000190,2026-04-04,Procurement,Missing Supplier Confirmation,Medium,PO4500001096,Supplier confirmation missing,Open
EXC000191,2025-04-24,Procurement,Overdue Purchase Order,Critical,PO4500001106,Purchase order delayed by 13 days,Open
EXC000192,2026-03-26,Procurement,Overdue Purchase Order,High,PO4500001109,Purchase order delayed by 7 days,Open
EXC000193,2026-01-10,Procurement,Overdue Purchase Order,Critical,PO4500001113,Purchase order delayed by 13 days,Open
EXC000194,2026-03-02,Procurement,Overdue Purchase Order,Critical,PO4500001129,Purchase order delayed by 17 days,Open
EXC000195,2026-03-06,Procurement,Missing Supplier Confirmation,Medium,PO4500001137,Supplier confirmation missing,Open
EXC000196,2025-10-01,Procurement,Overdue Purchase Order,High,PO4500001139,Purchase order delayed by 7 days,Open
EXC000197,2025-11-16,Procurement,Overdue Purchase Order,High,PO4500001143,Purchase order delayed by 4 days,Open
EXC000198,2025-10-19,Procurement,Missing Supplier Confirmation,Medium,PO4500001153,Supplier confirmation missing,Open
EXC000199,2025-01-15,Procurement,Overdue Purchase Order,High,PO4500001158,Purchase order delayed by 2 days,Open
EXC000200,2025-01-06,Procurement,Missing Supplier Confirmation,Medium,PO4500001158,Supplier confirmation missing,Open
EXC000201,2026-06-20,Procurement,Overdue Purchase Order,Critical,PO4500001164,Purchase order delayed by 10 days,Open
EXC000202,2025-04-20,Procurement,Missing Supplier Confirmation,Medium,PO4500001167,Supplier confirmation missing,Open
EXC000203,2026-03-20,Procurement,Missing Supplier Confirmation,Medium,PO4500001171,Supplier confirmation missing,Open
EXC000204,2026-01-29,Procurement,Overdue Purchase Order,High,PO4500001177,Purchase order delayed by 1 days,Open
EXC000205,2025-12-27,Procurement,Missing Supplier Confirmation,Medium,PO4500001177,Supplier confirmation missing,Open
EXC000206,2026-04-13,Procurement,Overdue Purchase Order,Critical,PO4500001183,Purchase order delayed by 17 days,Open
EXC000207,2026-03-22,Procurement,Overdue Purchase Order,High,PO4500001184,Purchase order delayed by 9 days,Open
EXC000208,2025-06-16,Procurement,Missing Supplier Confirmation,Medium,PO4500001187,Supplier confirmation missing,Open
EXC000209,2025-05-07,Procurement,Missing Supplier Confirmation,Medium,PO4500001188,Supplier confirmation missing,Open
EXC000210,2026-04-26,Procurement,Overdue Purchase Order,High,PO4500001198,Purchase order delayed by 3 days,Open
EXC000211,2025-12-10,Procurement,Overdue Purchase Order,High,PO4500001211,Purchase order delayed by 3 days,Open
EXC000212,2026-07-11,Procurement,Overdue Purchase Order,High,PO4500001212,Purchase order delayed by 1 days,Open
EXC000213,2025-02-09,Procurement,Overdue Purchase Order,Critical,PO4500001216,Purchase order delayed by 11 days,Open
EXC000214,2025-07-24,Procurement,Overdue Purchase Order,Critical,PO4500001220,Purchase order delayed by 16 days,Open
EXC000215,2025-12-10,Procurement,Overdue Purchase Order,High,PO4500001226,Purchase order delayed by 2 days,Open
EXC000216,2025-09-13,Procurement,Missing Supplier Confirmation,Medium,PO4500001233,Supplier confirmation missing,Open
EXC000217,2025-09-17,Procurement,Overdue Purchase Order,High,PO4500001234,Purchase order delayed by 5 days,Open
EXC000218,2025-09-08,Procurement,Missing Supplier Confirmation,Medium,PO4500001236,Supplier confirmation missing,Open
EXC000219,2025-08-18,Procurement,Missing Supplier Confirmation,Medium,PO4500001241,Supplier confirmation missing,Open
EXC000220,2025-02-05,Procurement,Overdue Purchase Order,Critical,PO4500001242,Purchase order delayed by 11 days,Open
EXC000221,2025-05-31,Procurement,Overdue Purchase Order,High,PO4500001245,Purchase order delayed by 9 days,Open
EXC000222,2025-04-28,Procurement,Missing Supplier Confirmation,Medium,PO4500001251,Supplier confirmation missing,Open
EXC000223,2026-01-04,Procurement,Missing Supplier Confirmation,Medium,PO4500001255,Supplier confirmation missing,Open
EXC000224,2025-05-21,Procurement,Overdue Purchase Order,High,PO4500001268,Purchase order delayed by 2 days,Open
EXC000225,2026-06-05,Procurement,Missing Supplier Confirmation,Medium,PO4500001271,Supplier confirmation missing,Open
EXC000226,2026-06-14,Procurement,Overdue Purchase Order,Critical,PO4500001272,Purchase order delayed by 14 days,Open
EXC000227,2025-10-13,Procurement,Missing Supplier Confirmation,Medium,PO4500001275,Supplier confirmation missing,Open
EXC000228,2025-05-19,Procurement,Overdue Purchase Order,Critical,PO4500001277,Purchase order delayed by 10 days,Open
EXC000229,2025-04-20,Procurement,Overdue Purchase Order,High,PO4500001283,Purchase order delayed by 7 days,Open
EXC000230,2025-07-13,Procurement,Overdue Purchase Order,High,PO4500001285,Purchase order delayed by 8 days,Open
EXC000231,2026-02-12,Procurement,Missing Supplier Confirmation,Medium,PO4500001288,Supplier confirmation missing,Open
EXC000232,2025-05-25,Procurement,Missing Supplier Confirmation,Medium,PO4500001305,Supplier confirmation missing,Open
EXC000233,2025-06-15,Procurement,Missing Supplier Confirmation,Medium,PO4500001309,Supplier confirmation missing,Open
EXC000234,2026-05-15,Procurement,Overdue Purchase Order,Critical,PO4500001320,Purchase order delayed by 11 days,Open
EXC000235,2025-09-11,Procurement,Overdue Purchase Order,High,PO4500001323,Purchase order delayed by 9 days,Open
EXC000236,2026-04-11,Procurement,Missing Supplier Confirmation,Medium,PO4500001329,Supplier confirmation missing,Open
EXC000237,2025-06-06,Procurement,Missing Supplier Confirmation,Medium,PO4500001330,Supplier confirmation missing,Open
EXC000238,2025-01-24,Procurement,Overdue Purchase Order,Critical,PO4500001333,Purchase order delayed by 13 days,Open
EXC000239,2025-09-10,Procurement,Overdue Purchase Order,Critical,PO4500001342,Purchase order delayed by 14 days,Open
EXC000240,2025-02-09,Procurement,Overdue Purchase Order,Critical,PO4500001344,Purchase order delayed by 17 days,Open
EXC000241,2025-09-12,Procurement,Overdue Purchase Order,Critical,PO4500001353,Purchase order delayed by 14 days,Open
EXC000242,2026-01-31,Procurement,Overdue Purchase Order,High,PO4500001355,Purchase order delayed by 8 days,Open
EXC000243,2026-01-14,Procurement,Overdue Purchase Order,High,PO4500001365,Purchase order delayed by 9 days,Open
EXC000244,2025-02-19,Procurement,Missing Supplier Confirmation,Medium,PO4500001366,Supplier confirmation missing,Open
EXC000245,2025-08-10,Procurement,Overdue Purchase Order,High,PO4500001373,Purchase order delayed by 9 days,Open
EXC000246,2025-11-01,Procurement,Overdue Purchase Order,Critical,PO4500001374,Purchase order delayed by 17 days,Open
EXC000247,2025-02-16,Procurement,Missing Supplier Confirmation,Medium,PO4500001376,Supplier confirmation missing,Open
EXC000248,2026-03-13,Procurement,Overdue Purchase Order,High,PO4500001383,Purchase order delayed by 1 days,Open
