ShipmentID,DeliveryID,ShipmentDate,CarrierID,CountryID,Incoterm,TransportMode,DistanceKm,WeightKg,Pallets,TransitDays,FreightCostEUR,SellerPaysFreight,OnTimeDelivery,Route
SHP900000079,DLV800000079,2026-04-29,CAR06,DK,FCA,Air,1000,4313.1,11,1,0.0,No,Yes,FI-DK
SHP900000080,DLV800000080,2025-01-14,CAR06,SE,CPT,Air,650,2021.8,5,1,2772.33,Yes,Yes,FI-SE
SHP900000081,DLV800000081,2025-06-15,CAR05,FR,CIP,Air,2400,2096.0,4,2,8080.97,Yes,No,FI-FR
SHP900000082,DLV800000082,2026-06-16,CAR08,ES,EXW,Sea,3500,1054.1,2,11,0.0,No,Yes,FI-ES
SHP900000083,DLV800000083,2025-11-09,CAR01,DE,DAP,Road,1650,5879.1,9,3,1608.32,Yes,Yes,FI-DE
SHP900000084,DLV800000084,2025-02-22,CAR07,NO,FCA,Sea,900,850.5,1,5,0.0,No,Yes,FI-NO
SHP900000085,DLV800000085,2025-08-07,CAR08,FI,EXW,Sea,250,4647.9,7,5,0.0,No,Yes,FI-FI
SHP900000086,DLV800000086,2026-06-15,CAR04,US,DDP,Road,7200,6721.3,10,11,4355.05,Yes,Yes,FI-US
SHP900000087,DLV800000087,2025-05-27,CAR07,NO,FCA,Sea,900,1884.3,3,5,0.0,No,Yes,FI-NO
SHP900000088,DLV800000088,2025-03-14,CAR07,PL,CPT,Sea,1450,6179.5,10,6,1221.29,Yes,No,FI-PL
SHP900000089,DLV800000089,2025-05-01,CAR06,NL,DDP,Air,1850,5580.1,12,1,8361.01,Yes,Yes,FI-NL
SHP900000090,DLV800000090,2025-06-14,CAR01,US,DDP,Road,7200,4214.7,6,11,4522.71,Yes,Yes,FI-US
SHP900000091,DLV800000091,2026-01-27,CAR02,FI,DAP,Road,250,5770.2,9,1,815.91,Yes,Yes,FI-FI
SHP900000092,DLV800000092,2025-10-12,CAR07,SE,CPT,Sea,650,6044.4,11,5,903.14,Yes,Yes,FI-SE
SHP900000093,DLV800000093,2025-02-18,CAR07,FR,CIP,Sea,2400,4203.9,9,9,1100.06,Yes,Yes,FI-FR
SHP900000094,DLV800000094,2026-02-24,CAR03,FR,DAP,Road,2400,6111.0,10,4,2475.63,Yes,Yes,FI-FR
SHP900000095,DLV800000095,2025-03-07,CAR01,PL,DDP,Road,1450,3193.4,8,2,1166.0,Yes,Yes,FI-PL
SHP900000096,DLV800000096,2025-06-23,CAR06,NL,DAP,Air,1850,3265.9,8,2,8249.43,Yes,No,FI-NL
SHP900000097,DLV800000097,2025-06-16,CAR02,NO,EXW,Road,900,2244.8,4,1,0.0,No,Yes,FI-NO
SHP900000098,DLV800000098,2025-07-12,CAR06,IT,CPT,Air,2900,6729.8,10,1,10932.24,Yes,Yes,FI-IT
SHP900000099,DLV800000099,2025-02-13,CAR07,NO,FCA,Sea,900,1773.4,5,5,0.0,No,Yes,FI-NO
SHP900000100,DLV800000100,2026-04-16,CAR02,FR,DDP,Road,2400,4484.3,7,4,2300.54,Yes,Yes,FI-FR
SHP900000101,DLV800000101,2025-07-15,CAR03,ES,FCA,Road,3500,5813.3,9,6,0.0,No,No,FI-ES
SHP900000102,DLV800000102,2026-03-11,CAR08,US,CPT,Sea,7200,4780.3,10,28,2602.0,Yes,No,FI-US
SHP900000103,DLV800000103,2025-01-20,CAR08,DK,DDP,Sea,1000,3363.9,9,6,803.49,Yes,No,FI-DK
SHP900000104,DLV800000104,2026-06-13,CAR04,FR,DDP,Road,2400,1031.1,2,4,1422.73,Yes,Yes,FI-FR
SHP900000105,DLV800000105,2025-06-12,CAR06,DK,FCA,Air,1000,6561.3,11,7,0.0,No,No,FI-DK
SHP900000106,DLV800000106,2026-06-18,CAR03,PL,DAP,Road,1450,6685.6,12,2,1783.39,Yes,Yes,FI-PL
SHP900000107,DLV800000107,2025-10-18,CAR05,US,CPT,Air,7200,5594.7,8,4,23350.93,Yes,Yes,FI-US
SHP900000108,DLV800000108,2025-09-09,CAR07,DK,DDP,Sea,1000,4279.8,8,8,671.7,Yes,No,FI-DK
SHP900000109,DLV800000109,2026-05-31,CAR05,SE,FCA,Air,650,6467.8,15,2,0.0,No,No,FI-SE
SHP900000110,DLV800000110,2026-05-03,CAR07,IT,CPT,Sea,2900,2681.7,7,9,1409.86,Yes,Yes,FI-IT
SHP900000111,DLV800000111,2026-05-16,CAR08,CN,CIP,Sea,7700,5864.2,15,27,3388.91,Yes,No,FI-CN
SHP900000112,DLV800000112,2025-02-04,CAR08,DK,DDP,Sea,1000,5553.1,12,5,949.8,Yes,Yes,FI-DK
SHP900000113,DLV800000113,2026-01-31,CAR06,FI,CIP,Air,250,4720.9,12,1,4319.56,Yes,Yes,FI-FI
SHP900000114,DLV800000114,2025-09-29,CAR06,NO,DAP,Air,900,2490.5,4,2,3918.91,Yes,No,FI-NO
SHP900000115,DLV800000115,2025-05-12,CAR04,US,DAP,Road,7200,3836.9,6,11,4769.3,Yes,Yes,FI-US
SHP900000116,DLV800000116,2025-09-23,CAR06,SE,FCA,Air,650,6926.0,13,1,0.0,No,Yes,FI-SE
SHP900000117,DLV800000117,2025-06-21,CAR07,NL,FCA,Sea,1850,5478.3,11,11,0.0,No,No,FI-NL
SHP900000118,DLV800000118,2026-02-02,CAR02,DK,CPT,Road,1000,2290.9,4,3,1053.19,Yes,No,FI-DK
SHP900000119,DLV800000119,2025-08-17,CAR05,US,DDP,Air,7200,549.3,1,4,21825.6,Yes,Yes,FI-US
SHP900000120,DLV800000120,2025-07-18,CAR08,ES,FCA,Sea,3500,629.5,1,17,0.0,No,No,FI-ES
SHP900000121,DLV800000121,2025-10-24,CAR05,PL,EXW,Air,1450,2581.8,4,1,0.0,No,Yes,FI-PL
SHP900000122,DLV800000122,2025-04-08,CAR08,PL,DAP,Sea,1450,4889.0,9,6,868.4,Yes,No,FI-PL
SHP900000123,DLV800000123,2025-06-27,CAR01,SE,CIP,Road,650,449.2,1,1,476.18,Yes,Yes,FI-SE
SHP900000124,DLV800000124,2025-05-11,CAR01,FR,CPT,Road,2400,3915.1,6,4,2141.95,Yes,Yes,FI-FR
SHP900000125,DLV800000125,2026-05-30,CAR01,PL,DDP,Road,1450,993.4,2,3,1066.33,Yes,No,FI-PL
SHP900000126,DLV800000126,2025-12-09,CAR05,CN,DAP,Air,7700,2037.6,4,4,19799.3,Yes,Yes,FI-CN
SHP900000127,DLV800000127,2026-03-12,CAR02,ES,DDP,Road,3500,1630.1,3,5,2086.53,Yes,Yes,FI-ES
SHP900000128,DLV800000128,2025-04-26,CAR03,DK,CPT,Road,1000,3666.9,6,2,1108.91,Yes,Yes,FI-DK
SHP900000129,DLV800000129,2025-10-15,CAR03,CN,DAP,Road,7700,1034.2,2,13,4889.51,Yes,No,FI-CN
SHP900000130,DLV800000130,2026-03-25,CAR07,DK,FCA,Sea,1000,6894.0,12,5,0.0,No,Yes,FI-DK
SHP900000131,DLV800000131,2025-03-08,CAR05,NL,FCA,Air,1850,962.1,1,1,0.0,No,Yes,FI-NL
SHP900000132,DLV800000132,2025-01-05,CAR04,NO,CPT,Road,900,3651.5,7,1,1075.65,Yes,Yes,FI-NO
SHP900000133,DLV800000133,2025-06-15,CAR08,DK,FCA,Sea,1000,6302.0,12,5,0.0,No,Yes,FI-DK
SHP900000134,DLV800000134,2026-01-02,CAR05,NL,DAP,Air,1850,6596.7,14,2,9258.37,Yes,No,FI-NL
SHP900000135,DLV800000135,2025-09-03,CAR08,IT,CPT,Sea,2900,1253.6,2,9,1121.92,Yes,Yes,FI-IT
SHP900000136,DLV800000136,2025-07-09,CAR04,FR,DDP,Road,2400,1522.3,3,4,1476.5,Yes,Yes,FI-FR
SHP900000137,DLV800000137,2025-03-16,CAR07,SE,CIP,Sea,650,2564.9,4,5,574.89,Yes,Yes,FI-SE
SHP900000138,DLV800000138,2025-11-09,CAR04,IT,CPT,Road,2900,1555.5,2,5,1809.32,Yes,No,FI-IT
SHP900000139,DLV800000139,2025-09-12,CAR06,FI,FCA,Air,250,6256.1,11,2,0.0,No,No,FI-FI
SHP900000140,DLV800000140,2025-06-24,CAR08,ES,EXW,Sea,3500,3295.5,6,11,0.0,No,Yes,FI-ES
SHP900000141,DLV800000141,2025-11-29,CAR02,FR,FCA,Road,2400,5276.7,14,4,0.0,No,Yes,FI-FR
SHP900000142,DLV800000142,2025-02-20,CAR07,NL,DAP,Sea,1850,4257.9,6,7,1242.6,Yes,Yes,FI-NL
SHP900000143,DLV800000143,2025-08-01,CAR08,IT,CPT,Sea,2900,6472.4,10,9,1899.61,Yes,Yes,FI-IT
SHP900000144,DLV800000144,2025-11-04,CAR04,FI,EXW,Road,250,793.1,2,3,0.0,No,No,FI-FI
SHP900000145,DLV800000145,2025-04-05,CAR04,NO,DAP,Road,900,674.6,2,1,659.08,Yes,Yes,FI-NO
SHP900000146,DLV800000146,2025-07-20,CAR04,CN,FCA,Road,7700,677.7,1,13,0.0,No,No,FI-CN
SHP900000147,DLV800000147,2025-06-02,CAR07,NO,EXW,Sea,900,6722.0,14,5,0.0,No,Yes,FI-NO
SHP900000148,DLV800000148,2025-04-01,CAR03,US,FCA,Road,7200,873.1,1,12,0.0,No,No,FI-US
SHP900000149,DLV800000149,2026-03-23,CAR03,FR,DAP,Road,2400,2680.6,6,4,1505.69,Yes,Yes,FI-FR
SHP900000150,DLV800000150,2025-10-31,CAR08,NO,CPT,Sea,900,5535.2,9,5,888.76,Yes,Yes,FI-NO
SHP900000151,DLV800000151,2025-11-29,CAR06,NO,DAP,Air,900,1379.8,2,1,4208.43,Yes,Yes,FI-NO
SHP900000152,DLV800000152,2025-03-08,CAR07,NL,DAP,Sea,1850,5461.2,10,7,1326.43,Yes,Yes,FI-NL
SHP900000153,DLV800000153,2025-04-30,CAR04,SE,DDP,Road,650,2730.0,4,2,721.06,Yes,No,FI-SE
SHP900000154,DLV800000154,2025-06-08,CAR05,FI,DAP,Air,250,1158.8,3,2,1825.9,Yes,No,FI-FI
SHP900000155,DLV800000155,2025-02-28,CAR03,FI,CPT,Road,250,2904.0,7,1,697.49,Yes,Yes,FI-FI
SHP900000156,DLV800000156,2025-09-23,CAR02,IT,CPT,Road,2900,255.7,1,4,1494.13,Yes,Yes,FI-IT
SHP900000157,DLV800000157,2026-04-05,CAR07,NL,DDP,Sea,1850,5455.3,12,7,1106.37,Yes,Yes,FI-NL
SHP900000158,DLV800000158,2025-04-17,CAR04,NO,FCA,Road,900,3897.9,6,1,0.0,No,Yes,FI-NO
SHP900000159,DLV800000159,2025-01-24,CAR02,IT,EXW,Road,2900,3438.2,7,4,0.0,No,Yes,FI-IT
SHP900000160,DLV800000160,2026-01-07,CAR01,FI,CPT,Road,250,3260.3,8,1,561.06,Yes,Yes,FI-FI
SHP900000161,DLV800000161,2026-04-17,CAR02,FR,FCA,Road,2400,3459.5,8,4,0.0,No,Yes,FI-FR
SHP900000162,DLV800000162,2025-07-20,CAR03,PL,FCA,Road,1450,4744.3,9,3,0.0,No,No,FI-PL
SHP900000163,DLV800000163,2026-05-23,CAR07,CN,DAP,Sea,7700,4260.5,11,26,3585.19,Yes,Yes,FI-CN
SHP900000164,DLV800000164,2026-02-04,CAR05,FR,DAP,Air,2400,5819.9,10,1,9779.13,Yes,Yes,FI-FR
SHP900000165,DLV800000165,2026-02-13,CAR01,FI,DDP,Road,250,5571.9,15,1,977.97,Yes,Yes,FI-FI
SHP900000166,DLV800000166,2025-09-15,CAR08,US,FCA,Sea,7200,503.6,1,24,0.0,No,Yes,FI-US
SHP900000167,DLV800000167,2025-11-17,CAR05,CN,DAP,Air,7700,4285.6,8,4,24820.31,Yes,Yes,FI-CN
SHP900000168,DLV800000168,2026-02-04,CAR08,DE,DDP,Sea,1650,3258.8,6,8,822.57,Yes,No,FI-DE
SHP900000169,DLV800000169,2025-10-26,CAR07,PL,CIP,Sea,1450,6669.2,13,6,1172.24,Yes,No,FI-PL
SHP900000170,DLV800000170,2025-11-23,CAR04,DK,DAP,Road,1000,3139.1,9,2,1150.34,Yes,Yes,FI-DK
SHP900000171,DLV800000171,2025-05-22,CAR03,DE,DAP,Road,1650,5914.4,15,3,1726.39,Yes,Yes,FI-DE
SHP900000172,DLV800000172,2025-09-22,CAR01,NO,CPT,Road,900,4013.8,7,1,1271.83,Yes,Yes,FI-NO
SHP900000173,DLV800000173,2025-04-24,CAR08,ES,DDP,Sea,3500,6496.8,12,12,2084.52,Yes,No,FI-ES
SHP900000174,DLV800000174,2025-11-03,CAR07,SE,DAP,Sea,650,3668.0,6,5,555.68,Yes,Yes,FI-SE
SHP900000175,DLV800000175,2025-01-07,CAR06,FR,CPT,Air,2400,2261.8,4,1,8780.21,Yes,Yes,FI-FR
SHP900000176,DLV800000176,2025-03-26,CAR04,NO,FCA,Road,900,3591.0,7,1,0.0,No,Yes,FI-NO
SHP900000177,DLV800000177,2026-03-05,CAR05,ES,DAP,Air,3500,6604.6,11,2,14643.17,Yes,Yes,FI-ES
SHP900000178,DLV800000178,2025-12-28,CAR01,US,CPT,Road,7200,2501.6,7,11,5102.29,Yes,Yes,FI-US
SHP900000179,DLV800000179,2025-10-13,CAR04,US,CPT,Road,7200,4079.8,6,11,4937.52,Yes,Yes,FI-US
SHP900000180,DLV800000180,2025-02-11,CAR07,US,CPT,Sea,7200,5050.9,7,29,3046.76,Yes,No,FI-US
SHP900000181,DLV800000181,2025-06-04,CAR08,DE,CPT,Sea,1650,1143.9,2,7,797.22,Yes,Yes,FI-DE
SHP900000182,DLV800000182,2025-05-08,CAR07,DK,FCA,Sea,1000,3527.6,6,5,0.0,No,Yes,FI-DK
SHP900000183,DLV800000183,2026-02-05,CAR03,PL,DDP,Road,1450,4374.0,12,3,1377.42,Yes,No,FI-PL
SHP900000184,DLV800000184,2025-09-09,CAR02,DK,CPT,Road,1000,1517.0,3,2,990.97,Yes,Yes,FI-DK
SHP900000185,DLV800000185,2025-02-11,CAR03,NL,DDP,Road,1850,182.9,1,3,1353.37,Yes,Yes,FI-NL
SHP900000186,DLV800000186,2025-09-25,CAR05,DE,CPT,Air,1650,4888.2,11,2,8176.34,Yes,No,FI-DE
SHP900000187,DLV800000187,2026-04-23,CAR07,PL,DAP,Sea,1450,3781.5,6,7,954.32,Yes,No,FI-PL
SHP900000188,DLV800000188,2026-04-13,CAR01,IT,DAP,Road,2900,5939.1,15,4,2255.97,Yes,Yes,FI-IT
SHP900000189,DLV800000189,2026-01-18,CAR03,NL,DDP,Road,1850,4341.3,9,3,1949.69,Yes,Yes,FI-NL
SHP900000190,DLV800000190,2025-03-31,CAR05,PL,CIP,Air,1450,895.1,2,1,4887.39,Yes,Yes,FI-PL
SHP900000191,DLV800000191,2026-05-02,CAR01,NO,DAP,Road,900,577.9,1,2,596.51,Yes,No,FI-NO
SHP900000192,DLV800000192,2025-11-16,CAR07,ES,FCA,Sea,3500,2625.5,7,11,0.0,No,Yes,FI-ES
SHP900000193,DLV800000193,2025-11-03,CAR01,FR,EXW,Road,2400,4786.4,11,4,0.0,No,Yes,FI-FR
SHP900000194,DLV800000194,2026-02-24,CAR07,CN,CIP,Sea,7700,2223.8,3,27,3068.83,Yes,No,FI-CN
SHP900000195,DLV800000195,2025-01-25,CAR06,FR,CPT,Air,2400,5642.7,16,1,8534.33,Yes,Yes,FI-FR
SHP900000196,DLV800000196,2026-01-24,CAR05,NL,DAP,Air,1850,785.5,1,1,5882.58,Yes,Yes,FI-NL
SHP900000197,DLV800000197,2025-01-06,CAR04,NL,DDP,Road,1850,6744.1,11,3,1946.53,Yes,Yes,FI-NL
SHP900000198,DLV800000198,2025-05-15,CAR08,FR,CPT,Sea,2400,4972.7,13,10,1297.89,Yes,No,FI-FR
SHP900000199,DLV800000199,2026-06-10,CAR05,IT,CPT,Air,2900,6874.4,13,2,11693.55,Yes,No,FI-IT
SHP900000200,DLV800000200,2025-03-21,CAR03,IT,FCA,Road,2900,6519.0,15,4,0.0,No,Yes,FI-IT
SHP900000201,DLV800000201,2025-06-14,CAR07,NO,CIP,Sea,900,5155.8,8,5,777.65,Yes,Yes,FI-NO
SHP900000202,DLV800000202,2026-01-26,CAR06,PL,CIP,Air,1450,1248.6,3,1,5211.79,Yes,Yes,FI-PL
SHP900000203,DLV800000203,2025-09-14,CAR04,CN,DAP,Road,7700,4580.2,10,12,4970.98,Yes,Yes,FI-CN
SHP900000204,DLV800000204,2025-03-19,CAR03,CN,DDP,Road,7700,5395.2,10,12,5541.52,Yes,Yes,FI-CN
SHP900000205,DLV800000205,2026-02-10,CAR02,FR,CPT,Road,2400,3440.3,10,4,2137.55,Yes,Yes,FI-FR
SHP900000206,DLV800000206,2025-03-12,CAR07,IT,CIP,Sea,2900,4259.0,9,9,1354.97,Yes,Yes,FI-IT
SHP900000207,DLV800000207,2025-07-18,CAR05,FI,FCA,Air,250,1889.4,3,1,0.0,No,Yes,FI-FI
SHP900000208,DLV800000208,2025-01-12,CAR04,NL,DAP,Road,1850,3550.9,7,3,1365.71,Yes,Yes,FI-NL
SHP900000209,DLV800000209,2025-10-10,CAR06,PL,DDP,Air,1450,1495.6,3,1,4820.72,Yes,Yes,FI-PL
SHP900000210,DLV800000210,2025-08-07,CAR08,SE,CPT,Sea,650,4696.5,11,5,716.3,Yes,Yes,FI-SE
SHP900000211,DLV800000211,2026-06-06,CAR08,NO,DDP,Sea,900,3708.0,6,12,798.99,Yes,No,FI-NO
