SnapshotDate,ProductID,WarehouseID,StockQty,BlockedStockQty,AvailableStockQty,SafetyStock,ReorderPoint,InventoryValueEUR
2026-06-30,MAT100012,WH02,253,13,240,87,140,35667.94
2026-06-30,MAT100012,WH03,205,13,192,87,140,28900.9
2026-06-30,MAT100013,WH01,88,3,85,38,131,17302.56
2026-06-30,MAT100013,WH02,242,1,241,38,131,47582.04
2026-06-30,MAT100013,WH03,46,3,43,38,131,9044.52
2026-06-30,MAT100014,WH01,81,6,75,61,139,14686.11
2026-06-30,MAT100014,WH02,155,12,143,61,139,28103.05
2026-06-30,MAT100014,WH03,186,11,175,61,139,33723.66
2026-06-30,MAT100015,WH01,292,12,280,37,174,219662.84
2026-06-30,MAT100015,WH02,350,4,346,37,174,263294.5
2026-06-30,MAT100015,WH03,419,15,404,37,174,315201.13
2026-06-30,MAT100016,WH01,75,1,74,43,88,47541.0
2026-06-30,MAT100016,WH02,99,4,95,43,88,62754.12
2026-06-30,MAT100016,WH03,62,1,61,43,88,39300.56
2026-06-30,MAT100017,WH01,123,9,114,64,223,38042.67
2026-06-30,MAT100017,WH02,145,3,142,64,223,44847.05
2026-06-30,MAT100017,WH03,504,0,504,64,223,155882.16
2026-06-30,MAT100018,WH01,481,25,456,75,211,309297.43
2026-06-30,MAT100018,WH02,450,1,449,75,211,289363.5
2026-06-30,MAT100018,WH03,200,0,200,75,211,128606.0
2026-06-30,MAT100019,WH01,300,8,292,90,140,152388.0
2026-06-30,MAT100019,WH02,103,1,102,90,140,52319.88
2026-06-30,MAT100019,WH03,86,4,82,90,140,43684.56
2026-06-30,MAT100020,WH01,253,7,246,69,214,208848.97
2026-06-30,MAT100020,WH02,521,10,511,69,214,430080.29
2026-06-30,MAT100020,WH03,220,6,214,69,214,181607.8
2026-06-30,MAT100021,WH01,276,9,267,97,136,180473.64
2026-06-30,MAT100021,WH02,371,22,349,97,136,242593.19
2026-06-30,MAT100021,WH03,121,7,114,97,136,79120.69
2026-06-30,MAT100022,WH01,256,4,252,65,115,1344.0
2026-06-30,MAT100022,WH02,213,14,199,65,115,1118.25
2026-06-30,MAT100022,WH03,239,15,224,65,115,1254.75
2026-06-30,MAT100023,WH01,29,1,28,74,129,21467.54
2026-06-30,MAT100023,WH02,328,13,315,74,129,242805.28
2026-06-30,MAT100023,WH03,85,5,80,74,129,62922.1
2026-06-30,MAT100024,WH01,154,4,150,87,147,49186.06
2026-06-30,MAT100024,WH02,194,9,185,87,147,61961.66
2026-06-30,MAT100024,WH03,141,6,135,87,147,45033.99
2026-06-30,MAT100025,WH01,125,8,117,10,102,2376.25
2026-06-30,MAT100025,WH02,116,8,108,10,102,2205.16
2026-06-30,MAT100025,WH03,252,17,235,10,102,4790.52
2026-06-30,MAT100026,WH01,171,4,167,40,64,127670.31
2026-06-30,MAT100026,WH02,92,1,91,40,64,68688.12
2026-06-30,MAT100026,WH03,46,3,43,40,64,34344.06
2026-06-30,MAT100027,WH01,528,11,517,103,237,438947.52
2026-06-30,MAT100027,WH02,483,1,482,103,237,401537.22
2026-06-30,MAT100027,WH03,219,16,203,103,237,182063.46
2026-06-30,MAT100028,WH01,400,6,394,26,157,90856.0
2026-06-30,MAT100028,WH02,411,22,389,26,157,93354.54
2026-06-30,MAT100028,WH03,104,3,101,26,157,23622.56
2026-06-30,MAT100029,WH01,97,3,94,37,185,58851.84
2026-06-30,MAT100029,WH02,471,10,461,37,185,285765.12
2026-06-30,MAT100029,WH03,120,0,120,37,185,72806.4
2026-06-30,MAT100030,WH01,167,9,158,66,208,17543.35
2026-06-30,MAT100030,WH02,138,9,129,66,208,14496.9
2026-06-30,MAT100030,WH03,313,14,299,66,208,32880.65
2026-06-30,MAT100031,WH01,4,0,4,12,172,2004.8
2026-06-30,MAT100031,WH02,80,0,80,12,172,40096.0
2026-06-30,MAT100031,WH03,206,3,203,12,172,103247.2
2026-06-30,MAT100032,WH01,2,0,2,39,66,1462.08
2026-06-30,MAT100032,WH02,160,12,148,39,66,116966.4
2026-06-30,MAT100032,WH03,110,7,103,39,66,80414.4
2026-06-30,MAT100033,WH01,126,6,120,45,179,57897.0
2026-06-30,MAT100033,WH02,287,3,284,45,179,131876.5
2026-06-30,MAT100033,WH03,366,16,350,45,179,168177.0
2026-06-30,MAT100034,WH01,196,5,191,83,214,130822.16
2026-06-30,MAT100034,WH02,210,7,203,83,214,140166.6
2026-06-30,MAT100034,WH03,291,18,273,83,214,194230.86
2026-06-30,MAT100035,WH01,126,5,121,22,56,38149.02
2026-06-30,MAT100035,WH02,77,3,74,22,56,23313.29
2026-06-30,MAT100035,WH03,142,4,138,22,56,42993.34
2026-06-30,MAT100036,WH01,213,14,199,96,131,73212.36
2026-06-30,MAT100036,WH02,64,4,60,96,131,21998.08
2026-06-30,MAT100036,WH03,117,5,112,96,131,40215.24
2026-06-30,MAT100037,WH01,92,4,88,41,100,42044.0
2026-06-30,MAT100037,WH02,274,18,256,41,100,125218.0
2026-06-30,MAT100037,WH03,147,10,137,41,100,67179.0
2026-06-30,MAT100038,WH01,480,19,461,45,173,356942.4
2026-06-30,MAT100038,WH02,322,14,308,45,173,239448.86
2026-06-30,MAT100038,WH03,462,25,437,45,173,343557.06
2026-06-30,MAT100039,WH01,102,2,100,22,44,84019.44
2026-06-30,MAT100039,WH02,107,8,99,22,44,88138.04
2026-06-30,MAT100039,WH03,77,1,76,22,44,63426.44
2026-06-30,MAT100040,WH01,199,11,188,31,145,81679.55
2026-06-30,MAT100040,WH02,120,4,116,31,145,49254.0
2026-06-30,MAT100040,WH03,353,5,348,31,145,144888.85
2026-06-30,MAT100041,WH01,82,3,79,31,138,68679.1
2026-06-30,MAT100041,WH02,40,2,38,31,138,33502.0
2026-06-30,MAT100041,WH03,175,4,171,31,138,146571.25
2026-06-30,MAT100042,WH01,173,13,160,46,164,23128.37
2026-06-30,MAT100042,WH02,18,0,18,46,164,2406.42
2026-06-30,MAT100042,WH03,165,0,165,46,164,22058.85
2026-06-30,MAT100043,WH01,268,9,259,84,232,170557.88
2026-06-30,MAT100043,WH02,321,17,304,84,232,204287.61
2026-06-30,MAT100043,WH03,292,4,288,84,232,185831.72
2026-06-30,MAT100044,WH01,322,12,310,71,209,16328.62
2026-06-30,MAT100044,WH02,62,4,58,71,209,3144.02
2026-06-30,MAT100044,WH03,355,7,348,71,209,18002.05
2026-06-30,MAT100045,WH01,73,4,69,18,45,25163.1
2026-06-30,MAT100045,WH02,103,4,99,18,45,35504.1
2026-06-30,MAT100045,WH03,114,6,108,18,45,39295.8
2026-06-30,MAT100046,WH01,554,42,512,41,199,292196.22
2026-06-30,MAT100046,WH02,105,4,101,41,199,55380.15
2026-06-30,MAT100046,WH03,155,8,147,41,199,81751.65
2026-06-30,MAT100047,WH01,591,35,556,82,225,469644.06
2026-06-30,MAT100047,WH02,254,0,254,82,225,201843.64
2026-06-30,MAT100047,WH03,288,19,269,82,225,228862.08
2026-06-30,MAT100048,WH01,125,0,125,40,117,14177.5
2026-06-30,MAT100048,WH02,103,6,97,40,117,11682.26
2026-06-30,MAT100048,WH03,311,12,299,40,117,35273.62
2026-06-30,MAT100049,WH01,126,3,123,50,78,49253.4
2026-06-30,MAT100049,WH02,205,0,205,50,78,80134.5
2026-06-30,MAT100049,WH03,147,5,142,50,78,57462.3
2026-06-30,MAT100050,WH01,429,5,424,19,166,185001.96
2026-06-30,MAT100050,WH02,205,1,204,19,166,88404.2
2026-06-30,MAT100050,WH03,156,2,154,19,166,67273.44
2026-06-30,MAT100051,WH01,5,0,5,18,90,1220.15
2026-06-30,MAT100051,WH02,61,4,57,18,90,14885.83
2026-06-30,MAT100051,WH03,169,9,160,18,90,41241.07
2026-06-30,MAT100052,WH01,444,4,440,100,187,252418.44
2026-06-30,MAT100052,WH02,177,7,170,100,187,100626.27
2026-06-30,MAT100052,WH03,292,16,276,100,187,166004.92
2026-06-30,MAT100053,WH01,67,3,64,27,104,50687.51
2026-06-30,MAT100053,WH02,87,0,87,27,104,65818.11
2026-06-30,MAT100053,WH03,162,0,162,27,104,122557.86
2026-06-30,MAT100054,WH01,99,5,94,44,126,60457.32
2026-06-30,MAT100054,WH02,207,4,203,44,126,126410.76
2026-06-30,MAT100054,WH03,47,0,47,44,126,28701.96
2026-06-30,MAT100055,WH01,387,13,374,74,209,297900.99
2026-06-30,MAT100055,WH02,583,12,571,74,209,448775.91
2026-06-30,MAT100055,WH03,156,2,154,74,209,120084.12
2026-06-30,MAT100056,WH01,315,5,310,91,209,12555.9
2026-06-30,MAT100056,WH02,180,5,175,91,209,7174.8
2026-06-30,MAT100056,WH03,296,0,296,91,209,11798.56
2026-06-30,MAT100057,WH01,294,12,282,91,168,185422.86
2026-06-30,MAT100057,WH02,212,5,207,91,168,133706.28
2026-06-30,MAT100057,WH03,190,3,187,91,168,119831.1
2026-06-30,MAT100058,WH01,191,3,188,81,93,12657.57
2026-06-30,MAT100058,WH02,91,4,87,81,93,6030.57
2026-06-30,MAT100058,WH03,16,1,15,81,93,1060.32
2026-06-30,MAT100059,WH01,90,3,87,79,98,44656.2
2026-06-30,MAT100059,WH02,21,0,21,79,98,10419.78
2026-06-30,MAT100059,WH03,221,6,215,79,98,109655.78
2026-06-30,MAT100060,WH01,112,0,112,15,103,85611.68
2026-06-30,MAT100060,WH02,159,9,150,15,103,121538.01
2026-06-30,MAT100060,WH03,68,5,63,15,103,51978.52
2026-06-30,MAT100061,WH01,172,11,161,55,118,97649.56
2026-06-30,MAT100061,WH02,94,7,87,55,118,53366.62
2026-06-30,MAT100061,WH03,203,14,189,55,118,115249.19
2026-06-30,MAT100062,WH01,221,9,212,62,111,162490.25
2026-06-30,MAT100062,WH02,38,0,38,62,111,27939.5
2026-06-30,MAT100062,WH03,71,4,67,62,111,52202.75
2026-06-30,MAT100063,WH01,53,1,52,62,78,33217.22
2026-06-30,MAT100063,WH02,158,4,154,62,78,99024.92
2026-06-30,MAT100063,WH03,190,13,177,62,78,119080.6
2026-06-30,MAT100064,WH01,459,17,442,112,185,63075.78
2026-06-30,MAT100064,WH02,419,19,400,112,185,57578.98
2026-06-30,MAT100064,WH03,338,16,322,112,185,46447.96
2026-06-30,MAT100065,WH01,100,0,100,14,144,17164.0
2026-06-30,MAT100065,WH02,241,9,232,14,144,41365.24
2026-06-30,MAT100065,WH03,286,6,280,14,144,49089.04
2026-06-30,MAT100066,WH01,140,5,135,49,117,3158.4
2026-06-30,MAT100066,WH02,150,10,140,49,117,3384.0
2026-06-30,MAT100066,WH03,215,5,210,49,117,4850.4
2026-06-30,MAT100067,WH01,173,5,168,45,72,51917.3
2026-06-30,MAT100067,WH02,85,4,81,45,72,25508.5
2026-06-30,MAT100067,WH03,164,1,163,45,72,49216.4
2026-06-30,MAT100068,WH01,158,8,150,52,69,117834.82
2026-06-30,MAT100068,WH02,96,2,94,52,69,71595.84
2026-06-30,MAT100068,WH03,162,2,160,52,69,120817.98
2026-06-30,MAT100069,WH01,136,6,130,43,62,69100.24
2026-06-30,MAT100069,WH02,65,4,61,43,62,33025.85
2026-06-30,MAT100069,WH03,62,2,60,43,62,31501.58
2026-06-30,MAT100070,WH01,233,5,228,65,205,76645.35
2026-06-30,MAT100070,WH02,379,4,375,65,205,124672.05
2026-06-30,MAT100070,WH03,396,30,366,65,205,130264.2
2026-06-30,MAT100071,WH01,324,0,324,15,136,143574.12
2026-06-30,MAT100071,WH02,138,10,128,15,136,61151.94
2026-06-30,MAT100071,WH03,217,10,207,15,136,96159.21
2026-06-30,MAT100072,WH01,212,3,209,56,176,171014.04
2026-06-30,MAT100072,WH02,125,9,116,56,176,100833.75
2026-06-30,MAT100072,WH03,336,10,326,56,176,271041.12
2026-06-30,MAT100073,WH01,73,4,69,50,91,31557.17
2026-06-30,MAT100073,WH02,4,0,4,50,91,1729.16
2026-06-30,MAT100073,WH03,164,10,154,50,91,70895.56
2026-06-30,MAT100074,WH01,384,6,378,61,146,63390.72
2026-06-30,MAT100074,WH02,373,0,373,61,146,61574.84
2026-06-30,MAT100074,WH03,196,4,192,61,146,32355.68
2026-06-30,MAT100075,WH01,231,11,220,96,150,80076.15
2026-06-30,MAT100075,WH02,278,12,266,96,150,96368.7
2026-06-30,MAT100075,WH03,131,6,125,96,150,45411.15
2026-06-30,MAT100076,WH01,107,7,100,46,109,71522.01
2026-06-30,MAT100076,WH02,114,8,106,46,109,76201.02
2026-06-30,MAT100076,WH03,87,6,81,46,109,58153.41
2026-06-30,MAT100077,WH01,229,1,228,69,192,131695.61
2026-06-30,MAT100077,WH02,472,17,455,69,192,271442.48
2026-06-30,MAT100077,WH03,97,2,95,69,192,55783.73
2026-06-30,MAT100078,WH01,75,2,73,94,125,32951.25
2026-06-30,MAT100078,WH02,311,11,300,94,125,136637.85
2026-06-30,MAT100078,WH03,138,4,134,94,125,60630.3
2026-06-30,MAT100079,WH01,70,4,66,21,91,13501.6
2026-06-30,MAT100079,WH02,8,0,8,21,91,1543.04
2026-06-30,MAT100079,WH03,189,13,176,21,91,36454.32
2026-06-30,MAT100080,WH01,8,0,8,15,87,4164.4
2026-06-30,MAT100080,WH02,212,6,206,15,87,110356.6
2026-06-30,MAT100080,WH03,186,10,176,15,87,96822.3
2026-06-30,MAT100081,WH01,314,5,309,63,220,191948.2
2026-06-30,MAT100081,WH02,284,5,279,63,220,173609.2
2026-06-30,MAT100081,WH03,272,13,259,63,220,166273.6
2026-06-30,MAT100082,WH01,36,0,36,41,88,27325.08
2026-06-30,MAT100082,WH02,187,11,176,41,88,141938.61
2026-06-30,MAT100082,WH03,128,3,125,41,88,97155.84
2026-06-30,MAT100083,WH01,381,27,354,109,227,57744.36
2026-06-30,MAT100083,WH02,180,3,177,109,227,27280.8
2026-06-30,MAT100083,WH03,319,12,307,109,227,48347.64
2026-06-30,MAT100084,WH01,88,4,84,69,91,68645.28
2026-06-30,MAT100084,WH02,174,11,163,69,91,135730.44
2026-06-30,MAT100084,WH03,250,15,235,69,91,195015.0
2026-06-30,MAT100085,WH01,191,1,190,112,240,154263.06
2026-06-30,MAT100085,WH02,10,0,10,112,240,8076.6
2026-06-30,MAT100085,WH03,148,10,138,112,240,119533.68
2026-06-30,MAT100086,WH01,306,5,301,114,253,216161.46
2026-06-30,MAT100086,WH02,325,6,319,114,253,229583.25
2026-06-30,MAT100086,WH03,83,5,78,114,253,58632.03
2026-06-30,MAT100087,WH01,594,35,559,105,236,131963.04
2026-06-30,MAT100087,WH02,291,9,282,105,236,64648.56
2026-06-30,MAT100087,WH03,25,1,24,105,236,5554.0
2026-06-30,MAT100088,WH01,193,4,189,108,251,102998.31
2026-06-30,MAT100088,WH02,583,36,547,108,251,311129.61
2026-06-30,MAT100088,WH03,456,6,450,108,251,243353.52
2026-06-30,MAT100089,WH01,102,2,100,101,184,23743.56
2026-06-30,MAT100089,WH02,179,11,168,101,184,41667.62
2026-06-30,MAT100089,WH03,313,9,304,101,184,72860.14
2026-06-30,MAT100090,WH01,62,4,58,20,65,12306.38
2026-06-30,MAT100090,WH02,73,2,71,20,65,14489.77
2026-06-30,MAT100090,WH03,150,5,145,20,65,29773.5
2026-06-30,MAT100091,WH01,289,3,286,18,134,81763.88
2026-06-30,MAT100091,WH02,12,0,12,18,134,3395.04
2026-06-30,MAT100091,WH03,165,6,159,18,134,46681.8
2026-06-30,MAT100092,WH01,345,20,325,36,153,265425.75
2026-06-30,MAT100092,WH02,390,20,370,36,153,300046.5
2026-06-30,MAT100092,WH03,266,12,254,36,153,204647.1
2026-06-30,MAT100093,WH01,674,13,661,119,276,274142.76
2026-06-30,MAT100093,WH02,246,2,244,119,276,100058.04
2026-06-30,MAT100093,WH03,47,3,44,119,276,19116.78
2026-06-30,MAT100094,WH01,183,5,178,106,215,83931.12
2026-06-30,MAT100094,WH02,62,0,62,106,215,28435.68
2026-06-30,MAT100094,WH03,136,6,130,106,215,62375.04
2026-06-30,MAT100095,WH01,158,9,149,38,172,36941.98
2026-06-30,MAT100095,WH02,386,9,377,38,172,90250.66
2026-06-30,MAT100095,WH03,14,1,13,38,172,3273.34
2026-06-30,MAT100096,WH01,191,10,181,53,166,136532.53
2026-06-30,MAT100096,WH02,69,2,67,53,166,49323.27
2026-06-30,MAT100096,WH03,118,8,110,53,166,84349.94
2026-06-30,MAT100097,WH01,247,1,246,78,94,124520.11
2026-06-30,MAT100097,WH02,152,7,145,78,94,76627.76
2026-06-30,MAT100097,WH03,146,4,142,78,94,73602.98
2026-06-30,MAT100098,WH01,364,27,337,92,211,268326.24
2026-06-30,MAT100098,WH02,529,14,515,92,211,389957.64
2026-06-30,MAT100098,WH03,216,2,214,92,211,159226.56
2026-06-30,MAT100099,WH01,149,6,143,58,151,57791.14
2026-06-30,MAT100099,WH02,110,5,105,58,151,42664.6
2026-06-30,MAT100099,WH03,213,5,208,58,151,82614.18
2026-06-30,MAT100100,WH01,315,8,307,45,162,223678.35
2026-06-30,MAT100100,WH02,228,10,218,45,162,161900.52
2026-06-30,MAT100100,WH03,412,14,398,45,162,292557.08
2026-06-30,MAT100101,WH01,199,8,191,16,115,110146.5
2026-06-30,MAT100101,WH02,258,20,238,16,115,142803.0
2026-06-30,MAT100101,WH03,107,2,105,16,115,59224.5
2026-06-30,MAT100102,WH01,267,13,254,106,123,45779.82
2026-06-30,MAT100102,WH02,112,1,111,106,123,19203.52
2026-06-30,MAT100102,WH03,240,4,236,106,123,41150.4
2026-06-30,MAT100103,WH01,8,0,8,40,82,4558.96
2026-06-30,MAT100103,WH02,151,9,142,40,82,86050.37
2026-06-30,MAT100103,WH03,76,1,75,40,82,43310.12
2026-06-30,MAT100104,WH01,8,0,8,69,144,1157.6
2026-06-30,MAT100104,WH02,98,6,92,69,144,14180.6
2026-06-30,MAT100104,WH03,155,2,153,69,144,22428.5
2026-06-30,MAT100105,WH01,151,5,146,109,160,14210.61
2026-06-30,MAT100105,WH02,412,32,380,109,160,38773.32
2026-06-30,MAT100105,WH03,395,8,387,109,160,37173.45
2026-06-30,MAT100106,WH01,345,22,323,83,189,276138.0
2026-06-30,MAT100106,WH02,250,10,240,83,189,200100.0
2026-06-30,MAT100106,WH03,391,18,373,83,189,312956.4
2026-06-30,MAT100107,WH01,357,22,335,98,170,211833.09
2026-06-30,MAT100107,WH02,193,6,187,98,170,114520.41
2026-06-30,MAT100107,WH03,203,4,199,98,170,120454.11
2026-06-30,MAT100108,WH01,419,1,418,113,153,124342.44
2026-06-30,MAT100108,WH02,290,5,285,113,153,86060.4
2026-06-30,MAT100108,WH03,369,24,345,113,153,109504.44
2026-06-30,MAT100109,WH01,169,6,163,18,157,2234.18
2026-06-30,MAT100109,WH02,156,6,150,18,157,2062.32
2026-06-30,MAT100109,WH03,236,10,226,18,157,3119.92
2026-06-30,MAT100110,WH01,179,8,171,23,143,96867.64
2026-06-30,MAT100110,WH02,384,23,361,23,143,207805.44
2026-06-30,MAT100110,WH03,12,0,12,23,143,6493.92
2026-06-30,MAT100111,WH01,112,0,112,65,120,58742.88
2026-06-30,MAT100111,WH02,80,3,77,65,120,41959.2
2026-06-30,MAT100111,WH03,335,10,325,65,120,175704.15
2026-06-30,MAT100112,WH01,203,3,200,69,190,55956.95
2026-06-30,MAT100112,WH02,215,5,210,69,190,59264.75
2026-06-30,MAT100112,WH03,363,24,339,69,190,100060.95
2026-06-30,MAT100113,WH01,139,0,139,45,170,88755.67
2026-06-30,MAT100113,WH02,304,2,302,45,170,194113.12
2026-06-30,MAT100113,WH03,464,24,440,45,170,296277.92
2026-06-30,MAT100114,WH01,11,0,11,53,70,7960.48
2026-06-30,MAT100114,WH02,86,4,82,53,70,62236.48
2026-06-30,MAT100114,WH03,183,9,174,53,70,132433.44
2026-06-30,MAT100115,WH01,94,2,92,55,131,22513.94
2026-06-30,MAT100115,WH02,89,7,82,55,131,21316.39
2026-06-30,MAT100115,WH03,255,3,252,55,131,61075.05
2026-06-30,MAT100116,WH01,90,7,83,81,93,6755.4
2026-06-30,MAT100116,WH02,77,3,74,81,93,5779.62
2026-06-30,MAT100116,WH03,163,3,160,81,93,12234.78
2026-06-30,MAT100117,WH01,112,2,110,81,152,61588.8
2026-06-30,MAT100117,WH02,306,2,304,81,152,168269.4
2026-06-30,MAT100117,WH03,294,0,294,81,152,161670.6
2026-06-30,MAT100118,WH01,262,14,248,21,106,90450.26
2026-06-30,MAT100118,WH02,252,10,242,21,106,86997.96
2026-06-30,MAT100118,WH03,132,4,128,21,106,45570.36
2026-06-30,MAT100119,WH01,446,35,411,57,188,161947.06
2026-06-30,MAT100119,WH02,240,4,236,57,188,87146.4
2026-06-30,MAT100119,WH03,77,0,77,57,188,27959.47
2026-06-30,MAT100120,WH01,112,1,111,55,181,29384.32
2026-06-30,MAT100120,WH02,396,10,386,55,181,103894.56
2026-06-30,MAT100120,WH03,236,9,227,55,181,61916.96
