ProductID,ProductName,MaterialGroup,Unit,StandardCostEUR,SafetyStock,ReorderPoint,CriticalMaterial
MAT100031,Motors Item 031,Motors,M,501.2,12,172,Yes
MAT100032,Bearings Item 032,Bearings,EA,731.04,39,66,Yes
MAT100033,Pneumatics Item 033,Pneumatics,M,459.5,45,179,No
MAT100034,Belts Item 034,Belts,M,667.46,83,214,No
MAT100035,Pneumatics Item 035,Pneumatics,SET,302.77,22,56,No
MAT100036,Bearings Item 036,Bearings,EA,343.72,96,131,No
MAT100037,Electrical Item 037,Electrical,M,457.0,41,100,Yes
MAT100038,Hydraulics Item 038,Hydraulics,M,743.63,45,173,Yes
MAT100039,Tools Item 039,Tools,EA,823.72,22,44,No
MAT100040,Pneumatics Item 040,Pneumatics,SET,410.45,31,145,No
MAT100041,Bearings Item 041,Bearings,EA,837.55,31,138,No
MAT100042,Safety Item 042,Safety,SET,133.69,46,164,No
MAT100043,Bearings Item 043,Bearings,EA,636.41,84,232,Yes
MAT100044,Belts Item 044,Belts,M,50.71,71,209,No
MAT100045,Hydraulics Item 045,Hydraulics,M,344.7,18,45,No
MAT100046,Belts Item 046,Belts,EA,527.43,41,199,No
MAT100047,Belts Item 047,Belts,KG,794.66,82,225,No
MAT100048,Motors Item 048,Motors,SET,113.42,40,117,No
MAT100049,Safety Item 049,Safety,EA,390.9,50,78,No
MAT100050,Electrical Item 050,Electrical,M,431.24,19,166,Yes
MAT100051,Motors Item 051,Motors,KG,244.03,18,90,No
MAT100052,Tools Item 052,Tools,EA,568.51,100,187,No
MAT100053,Electrical Item 053,Electrical,EA,756.53,27,104,No
MAT100054,Hydraulics Item 054,Hydraulics,M,610.68,44,126,No
MAT100055,Fasteners Item 055,Fasteners,KG,769.77,74,209,No
MAT100056,Electrical Item 056,Electrical,KG,39.86,91,209,No
MAT100057,Hydraulics Item 057,Hydraulics,M,630.69,91,168,No
MAT100058,Packaging Item 058,Packaging,EA,66.27,81,93,No
MAT100059,Hydraulics Item 059,Hydraulics,KG,496.18,79,98,Yes
MAT100060,Hydraulics Item 060,Hydraulics,KG,764.39,15,103,No
MAT100061,Bearings Item 061,Bearings,M,567.73,55,118,No
MAT100062,Tools Item 062,Tools,M,735.25,62,111,No
MAT100063,Hydraulics Item 063,Hydraulics,M,626.74,62,78,No
MAT100064,Packaging Item 064,Packaging,KG,137.42,112,185,No
MAT100065,Packaging Item 065,Packaging,M,171.64,14,144,No
MAT100066,Motors Item 066,Motors,M,22.56,49,117,No
MAT100067,Motors Item 067,Motors,KG,300.1,45,72,No
MAT100068,Tools Item 068,Tools,EA,745.79,52,69,No
MAT100069,Belts Item 069,Belts,EA,508.09,43,62,No
MAT100070,Motors Item 070,Motors,EA,328.95,65,205,No
MAT100071,Fasteners Item 071,Fasteners,EA,443.13,15,136,No
MAT100072,Pneumatics Item 072,Pneumatics,EA,806.67,56,176,No
MAT100073,Belts Item 073,Belts,KG,432.29,50,91,No
MAT100074,Motors Item 074,Motors,M,165.08,61,146,No
MAT100075,Packaging Item 075,Packaging,KG,346.65,96,150,No
MAT100076,Fasteners Item 076,Fasteners,SET,668.43,46,109,No
MAT100077,Motors Item 077,Motors,SET,575.09,69,192,No
MAT100078,Hydraulics Item 078,Hydraulics,KG,439.35,94,125,No
MAT100079,Motors Item 079,Motors,KG,192.88,21,91,No
MAT100080,Bearings Item 080,Bearings,SET,520.55,15,87,No
MAT100081,Safety Item 081,Safety,M,611.3,63,220,No
MAT100082,Packaging Item 082,Packaging,EA,759.03,41,88,No
MAT100083,Electrical Item 083,Electrical,M,151.56,109,227,No
MAT100084,Tools Item 084,Tools,M,780.06,69,91,Yes
MAT100085,Hydraulics Item 085,Hydraulics,KG,807.66,112,240,No
MAT100086,Belts Item 086,Belts,SET,706.41,114,253,No
MAT100087,Hydraulics Item 087,Hydraulics,SET,222.16,105,236,No
MAT100088,Fasteners Item 088,Fasteners,SET,533.67,108,251,No
MAT100089,Electrical Item 089,Electrical,M,232.78,101,184,No
MAT100090,Tools Item 090,Tools,M,198.49,20,65,No
MAT100091,Pneumatics Item 091,Pneumatics,SET,282.92,18,134,No
MAT100092,Bearings Item 092,Bearings,SET,769.35,36,153,No
MAT100093,Bearings Item 093,Bearings,SET,406.74,119,276,No
MAT100094,Fasteners Item 094,Fasteners,SET,458.64,106,215,No
MAT100095,Belts Item 095,Belts,M,233.81,38,172,No
MAT100096,Packaging Item 096,Packaging,M,714.83,53,166,No
MAT100097,Belts Item 097,Belts,SET,504.13,78,94,No
MAT100098,Electrical Item 098,Electrical,M,737.16,92,211,No
MAT100099,Fasteners Item 099,Fasteners,M,387.86,58,151,No
MAT100100,Packaging Item 100,Packaging,KG,710.09,45,162,No
MAT100101,Tools Item 101,Tools,M,553.5,16,115,No
MAT100102,Bearings Item 102,Bearings,M,171.46,106,123,Yes
MAT100103,Hydraulics Item 103,Hydraulics,SET,569.87,40,82,No
MAT100104,Pneumatics Item 104,Pneumatics,KG,144.7,69,144,No
MAT100105,Electrical Item 105,Electrical,KG,94.11,109,160,Yes
MAT100106,Fasteners Item 106,Fasteners,SET,800.4,83,189,No
MAT100107,Belts Item 107,Belts,EA,593.37,98,170,No
MAT100108,Belts Item 108,Belts,EA,296.76,113,153,No
MAT100109,Motors Item 109,Motors,KG,13.22,18,157,No
MAT100110,Safety Item 110,Safety,KG,541.16,23,143,No
MAT100111,Hydraulics Item 111,Hydraulics,KG,524.49,65,120,No
MAT100112,Safety Item 112,Safety,KG,275.65,69,190,No
MAT100113,Electrical Item 113,Electrical,M,638.53,45,170,No
MAT100114,Packaging Item 114,Packaging,SET,723.68,53,70,No
MAT100115,Pneumatics Item 115,Pneumatics,KG,239.51,55,131,No
MAT100116,Fasteners Item 116,Fasteners,M,75.06,81,93,No
MAT100117,Safety Item 117,Safety,SET,549.9,81,152,No
MAT100118,Bearings Item 118,Bearings,M,345.23,21,106,No
MAT100119,Belts Item 119,Belts,KG,363.11,57,188,No
MAT100120,Motors Item 120,Motors,KG,262.36,55,181,No
